fileid,mic_file,method,doa_source,speaker_id,duration_sec,gt_doa,steering_doa,predicted_doa_count,predicted_doas,matched_predicted_index,steering_doa_error_deg,beamformed_file,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,reference,hypothesis,localization_sec,beamforming_sec,whisper_sec,total_sec,localization_rtf,beamforming_rtf,whisper_rtf,total_rtf,under_realtime
10,mic_fileid_10_doa3_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.430875,3,10,3,"275,10,90",1,7.0,hark_fileid_10_spk1_hark_music_doa10_gt3.wav,text_fileid_10_doa3_spk1.txt,0.1111111111111111,5,45,7.44453005086042,1.4884264361571453,-5.956103614703275,6.582216348176921,-3.764278479870235,-10.346494828047156,,,,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Here he saw clients with his stocharolile was out or engaged and here he issued private orders. A little window, not larger than a pane of glass, looked out from the clerk's office. They called it Old Dills Peephole and wished it anywhere else.",0.02131110499976785,0.4256412820013793,0.6435632749999058,1.090515662001053,0.001381069122766392,0.02758374246446681,0.04170620752225041,0.07067101910948362,1
11,mic_fileid_11_doa93_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.721,264,265,3,"265,90,185",0,1.0,hark_fileid_11_spk1_hark_music_doa265_gt264.wav,text_fileid_11_doa264_spk1.txt,0.34375,11,32,4.3507104076795775,2.9372015243350353,-1.4135088833445422,2.517219782265993,0.6304129442487821,-1.8868068380172112,,,,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Seized maple on the long road straightway delivers himself of a yell pure and simple. At Perrysburg I striked a famous mommy pipe, 40 miles of stone road almost to dead level.",0.0178568159990391,0.3838822199995775,0.392428397999538,0.7941674339981546,0.0011358575153641052,0.024418435214018035,0.024962050632882003,0.05051634336226414,1
12,mic_fileid_12_doa38_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.289,38,10,3,"185,10,85",1,28.0,hark_fileid_12_spk1_hark_music_doa10_gt38.wav,text_fileid_12_doa38_spk1.txt,0.4,16,40,3.0117120171854905,2.7868252070687323,-0.22488681011675826,2.3108811519215915,-0.4581053965666093,-2.7689865484882006,,,,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"of any other man which might have been frail upon her husband's husband. Mrs. Anderson knew of none but her rest of us. The coroner had denied that her ordeal was ended, and the veiled lady made her way to the door.",0.02442136500030756,0.41721645800134866,0.5129334409994044,0.9545712640010606,0.0014125377407778101,0.024131902250063543,0.029668196020556675,0.05521263601139803,1
13,mic_fileid_13_doa5_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.47475,5,85,3,"275,185,85",2,80.0,hark_fileid_13_spk1_hark_music_doa85_gt5.wav,text_fileid_13_doa5_spk1.txt,0.1282051282051282,5,39,4.507896838221571,3.380564694751294,-1.127332143470277,3.72152809385599,0.7180839337550203,-3.0034441601009694,,,,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,"No matter how difficult, and must succeed it or die, they did not think long, but replied, let him build your majesty of one day a more beautiful palace than this, and if he fails in his temptations.",0.022432997999203508,0.42995779299963033,0.4636438959987572,0.916034686997591,0.0012837378502813207,0.024604517546724863,0.026532219116082188,0.05242047451308837,1
14,mic_fileid_14_doa181_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.749,181,180,3,"255,180,100",1,1.0,hark_fileid_14_spk1_hark_music_doa180_gt181.wav,text_fileid_14_doa181_spk1.txt,0.2619047619047619,11,42,5.70254806064969,-1.6419137729174866,-7.344461833567177,5.878008946627866,-13.123085475984988,-19.001094422612855,,,,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious constellation. The two spent hours together sometimes with tiny parlour, stumbling over brilliant wool difficulties and now and then watering true and pro, conversationally from Priscilla to the optimal stitch and from the optimal stitch to Dennis.",0.03057403200000408,0.4300051900008839,0.4613855739989958,0.9219647959998838,0.0017225777226888323,0.024227009409030588,0.025995017972786964,0.05194460510450639,1
15,mic_fileid_15_doa78_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.6375,266,190,3,"90,270,190",2,76.0,hark_fileid_15_spk1_hark_music_doa190_gt266.wav,text_fileid_15_doa266_spk1.txt,0.3888888888888889,14,36,5.416050440078651,-0.5358490561109879,-5.951899496189639,4.383063203187186,-23.74192993400531,-28.124993137192497,,,,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"What on shore he followed his day-right style, what was never known to youth, except in speech and appearance, he was the counterpart of a techie, good-natured, well-cared, old household dog.",0.019578159999582567,0.37701411599846324,0.5112603750003473,0.9078526509983931,0.001252000639461715,0.024109615731316595,0.03269450839330758,0.05805612476408589,1
16,mic_fileid_16_doa36_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.665875,36,10,3,"10,295,50",0,26.0,hark_fileid_16_spk1_hark_music_doa10_gt36.wav,text_fileid_16_doa36_spk1.txt,0.8,32,40,4.715887579519538,-2.908208415839465,-7.624095995359003,5.22374329634456,-28.845350655023196,-34.069093951367755,,,,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,"He can testify as what is pointed at best in New England town, possibly the dappling of the elves, possibly the shadow of the old shipps church. Just met on the doorstep by Israeli, the members of the Torsi cultures.",0.01753399500012165,0.3942892569994001,0.4656689319999714,0.8774921839994931,0.0011192477279514646,0.025168671204091702,0.02972505091480504,0.056012969846848205,1
17,mic_fileid_17_doa99_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,16.526625,99,100,3,"100,5,170",0,1.0,hark_fileid_17_spk1_hark_music_doa100_gt99.wav,text_fileid_17_doa99_spk1.txt,0.0392156862745098,2,51,4.538646043512617,0.8630242418813492,-3.6756218016312676,3.500031346448058,-5.185807222555201,-8.68583856900326,,,,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged to a man whom she really loved? Yes, that was it. And during all the time she kept up her old layers on the author wanted to show that a woman can love in two ways, a man only in one. That's true enough, isn't it? Certainly.",0.017404046000592643,0.390725030001704,0.60596439100118,1.0140934670034767,0.0010530913601895513,0.023642155007553206,0.036665949097361386,0.06136119546510414,1
18,mic_fileid_18_doa181_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.649,181,180,3,"180,100,245",0,1.0,hark_fileid_18_spk1_hark_music_doa180_gt181.wav,text_fileid_18_doa181_spk1.txt,0.044444444444444446,2,45,5.032712299136866,-0.5973658686569245,-5.6300781677937906,5.418632518961637,-8.679016857730604,-14.09764937669224,,,,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,"And don't I hope that first picture turned out good? It was a remarkable pose, if only the focus was right. He started toward the cabin door as though anxious to develop his role of film and discover what success his labor had resulted in.",0.021910515999479685,0.3863716759988165,0.5013333320002857,0.9096155239985819,0.0014001224359051496,0.02468986363338338,0.032036125758852695,0.05812611182814122,1
19,mic_fileid_19_doa121_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.152125,340,345,3,"265,345,180",1,5.0,hark_fileid_19_spk1_hark_music_doa345_gt340.wav,text_fileid_19_doa340_spk1.txt,0.11904761904761904,5,42,6.963142319533812,4.900033451080007,-2.0631088684538055,6.300918608916669,3.2663743632218,-3.0345442456948692,,,,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"The injuries to DotCova had delayed the march so greatly that it was decided to give up the expedition, which was arrayed upon a small, dark community in retaliation for the destruction of the incubator, until after the Great Games.",0.01866031700046733,0.4348436219988798,0.4985751149997668,0.952079053999114,0.0010879303293596175,0.025352171931983924,0.029067833577458582,0.055507935838802126,1
20,mic_fileid_20_doa68_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,16.674375,68,80,3,"80,15,180",0,12.0,hark_fileid_20_spk1_hark_music_doa80_gt68.wav,text_fileid_20_doa68_spk1.txt,0.08823529411764706,3,34,4.592732917239571,-0.4479886034558836,-5.040721520695455,3.64248871573861,-9.695655996398525,-13.338144712137135,,,,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,"A lemon was about to approach the dead body and had begun to look at it when the brother, looking up at him from under his brows with calm contempt, said something sharply and aimlessly.",0.029096420999849215,0.41767093000089517,0.43781874000160315,0.8845860910023475,0.0017449782075699516,0.025048670789813418,0.026256980546593388,0.05305062954397676,1
21,mic_fileid_21_doa34_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.10975,34,75,3,"10,75,180",1,41.0,hark_fileid_21_spk1_hark_music_doa75_gt34.wav,text_fileid_21_doa34_spk1.txt,0.1891891891891892,7,37,6.26855616178417,-0.10084895191460636,-6.369405113698777,5.846675211722755,-11.338484489365632,-17.185159701088388,,,,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,"We then went to work, then closed after the pattern of the Necheli estimate, and the sewing went on early and late. Thick aniracs and thin ones, heavy breaches and light, winter stockings and summer stockings.",0.024850289000823977,0.43699101700076426,0.5306933270003356,0.9925346330019238,0.0014524051491590455,0.025540467686597658,0.031017012346780965,0.05800988518253767,1
22,mic_fileid_22_doa22_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,16.8605,345,270,3,"160,270,95",1,75.0,hark_fileid_22_spk1_hark_music_doa270_gt345.wav,text_fileid_22_doa345_spk1.txt,0.8157894736842105,31,38,3.2703564776677743,3.2783698317035554,0.008013354035781184,2.8955642254790845,0.964383173368424,-1.9311810521106605,,,,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,"Hey, I'm very comfortable with the salt matter, and you throw wits and common sense in educating the public. Clearly my dear, I'm more proud of this to you than I've ever been before. There's been no point of equilibrium between liking more and liking less.",0.02797837599973718,0.46149094899919874,0.6595938929986005,1.1490632179975364,0.0016594036950112502,0.027371130690026915,0.03912066030061982,0.06815119468565799,1
23,mic_fileid_23_doa6_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,16.07425,212,195,3,"195,245,90",0,17.0,hark_fileid_23_spk1_hark_music_doa195_gt212.wav,text_fileid_23_doa212_spk1.txt,0.6458333333333334,31,48,5.851375095637323,-2.0729306315153826,-7.9243057271527055,4.819576815847146,-29.79360253962824,-34.61317935547538,,,,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,"Well take a look at her, her way of living, her walking home from what I had never been brought back to his father's house. He's so tired and excited, but all that could be done now is happening too. By chance, David's father, who I think he had disappeared.",0.02810528599911777,0.40018924600008177,2.922620690998883,3.3509152229980828,0.001748466398066334,0.02489629351292171,0.1818200345894137,0.20846479450040176,1
24,mic_fileid_24_doa57_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,16.518375,289,280,3,"280,90,165",0,9.0,hark_fileid_24_spk1_hark_music_doa280_gt289.wav,text_fileid_24_doa289_spk1.txt,0.12195121951219512,5,41,4.580670673283431,2.1716142178593802,-2.409056455424051,3.895155284527174,-0.7099645740866628,-4.605119858613837,,,,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I had not forgotten the lipid, jagged furrows in much her side, and quickly as I shot to the ladder she was there before me, a dim, wavering, white shade, waiting. I paused, holding to a rung of the ladder with one hand.",0.041985635998571524,0.39585539099971356,0.6453939319999336,1.0832349589982186,0.0025417534108876645,0.023964548026044547,0.039071272567666834,0.06557757400459904,1
25,mic_fileid_25_doa112_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,14.702125,112,105,3,"180,105,260",1,7.0,hark_fileid_25_spk1_hark_music_doa105_gt112.wav,text_fileid_25_doa112_spk1.txt,0.027777777777777776,1,36,3.739846981872834,3.6785156516793793,-0.061331330193454825,2.8497808439944565,1.263576793751362,-1.5862040502430945,,,,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,"There was the sweetness of the Mayflower and the strength of the young oak, but one could easily divine that she was one of the souls by nature pitched too high by suffering plunge too low.",0.01866695399985474,0.35316182499991555,0.4647139930002595,0.8365427720000298,0.0012696772745337656,0.024021141501647927,0.03160862752835114,0.056899446304532836,1
26,mic_fileid_26_doa34_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,15.26275,34,20,3,"75,20,185",1,14.0,hark_fileid_26_spk1_hark_music_doa20_gt34.wav,text_fileid_26_doa34_spk1.txt,0.20588235294117646,7,34,-0.5221882224260228,1.370566603155726,1.8927548255817488,-4.044653073327517,-3.801198800269291,0.24345427305822565,,,,THEY CAME FROM THE EAST WEST NORTH AND SOUTH ALL SORRY TO KNOW OF HER ILLNESS AND BRINGING PRESENTS WITH THEM SOMETIMES IT WAS A LITTLE LIVE BIRD OR SQUIRREL A DELICIOUS SALMON TROUT,"They came from the east, west, north and south, all sorry to know of her illness and bringing presence with them. Sometimes it was a little like a piece of dirt or squirrel, a delicious salmon trowel.",0.017958402999283862,0.373271348000344,0.49791313800051284,0.8891428890001407,0.0011766164681517985,0.024456362582126027,0.03262276706363616,0.058255746113913986,1
27,mic_fileid_27_doa31_3spk.wav,HARK-LocalizeMUSIC-GHDSS,hark_music,1,17.2175,173,175,3,"175,75,275",0,2.0,hark_fileid_27_spk1_hark_music_doa175_gt173.wav,text_fileid_27_doa173_spk1.txt,0.2,7,35,3.640430548290502,0.778262063675977,-2.862168484614525,2.980068492531516,-4.234835130533638,-7.214903623065154,,,,IT SEEMS THAT THE PUBLIC ADMIRE HER AS MUCH AS I HAVE DONE I I SHALL FIND HER SOME DAY THEN SHE WILL RETURN TO ME STILL THINKING OF HER I OBSERVED REPROACHFULLY YES ALWAYS,"It seems that the public admire her as much as I have done. I shall find her someday, then she will return to me. So, still think you love her? I observed reproachfully. Yes, always.",0.023545519999970566,0.3963173120009742,0.48558229799891706,0.9054451299998618,0.0013675341948581714,0.02301828441997817,0.02820283420931709,0.05258865282415343,1
