fileid,chunk_index,clean_file,duration_sec,input_channels,input_audio_type,audio_start_sec,audio_end_sec,gt_dominant_spk1_doa,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
2,3,clean_fileid_2_doa36_spk1_3.wav,4.0,1,clean_spk1,40.0,44.0,36,3.994342721999601,4.0,44.0,44.00014802699934,0.0001480269993408001,0.5,1,1.000003364249985,0.9985856804999003,2,"working, and while her hands mechan ically found and did the recustom labor",2,ically found and did the recustom labor . The thoughts that rose in her,"quiet and monotonous, although hard working, and while her hands mechan",39.88,43.52
2,4,clean_fileid_2_doa36_spk1_4.wav,4.0,1,clean_spk1,44.0,48.0,36,3.9941127339998275,4.0,48.0,48.00015905500004,0.0001590550000400981,0.5,1,1.0000033136458342,0.9985281834999569,2,. The thoughts that rose in her head always centered on Charlie Kinraid,2,head always centered on Charlie Kinraid . His ways,ically found and did the recustom labor . The thoughts that rose in her,43.82,46.84
2,5,clean_fileid_2_doa36_spk1_5.wav,4.0,1,clean_spk1,48.0,52.0,36,3.9945011129993873,4.0,52.0,52.00013300699993,0.00013300699993124,0.5,1,1.0000025578269218,0.9986252782498468,2,". His ways , his words.",1,", his words.",head always centered on Charlie Kinraid . His ways,47.440000000000005,48.58
3,1,clean_fileid_3_doa39_spk1_1.wav,4.0,1,clean_spk1,52.0,56.0,39,3.993467584999962,4.0,56.0,56.00014353000006,0.00014353000005939975,0.5,1,1.0000025630357154,0.9983668962499905,1,which takes over the usual,2,which takes over the usual stream of consciousness type of thinking,,52.24,55.4
3,2,clean_fileid_3_doa39_spk1_2.wav,4.0,1,clean_spk1,56.0,60.0,39,3.995440650999626,4.0,60.0,60.00012254000012,0.0001225400001203525,0.5,1,1.0000020423333353,0.9988601627499065,2,stream of consciousness type of thinking . It is implied that the process,2,. It is implied that the process may be atavistic. One of,which takes over the usual stream of consciousness type of thinking,56.1,59.58
3,3,clean_fileid_3_doa39_spk1_3.wav,4.0,1,clean_spk1,60.0,64.0,39,3.9937557109997215,4.0,64.0,64.0001350349994,0.00013503499940270558,0.5,1,1.0000021099218657,0.9984389277499304,2,"may be atavistic. One of the newer theories, one held",2,"the newer theories, one held by Dr. Louis R. Wolberg",. It is implied that the process may be atavistic. One of,59.760000000000005,63.42
3,4,clean_fileid_3_doa39_spk1_4.wav,4.0,1,clean_spk1,64.0,68.0,39,3.9947409340002196,4.0,68.0,68.0001350449993,0.00013504499929695157,0.5,1,1.000001985955872,0.9986852335000549,2,"by Dr. Louis R. Wolberg , a psychoanalyst.",1,", a psychoanalyst.","the newer theories, one held by Dr. Louis R. Wolberg",63.82,65.4
4,1,clean_fileid_4_doa26_spk1_1.wav,4.0,1,clean_spk1,68.0,72.0,26,3.994392675999734,4.0,72.0,72.00015565400008,0.00015565400008199504,0.5,1,1.0000021618611123,0.9985981689999335,1,The publication,2,"The publication , if made at all, should be affected",,68.58,71.11999999999999
4,2,clean_fileid_4_doa26_spk1_2.wav,4.0,1,clean_spk1,72.0,76.0,26,3.9928949909999574,4.0,76.0,76.00012147399957,0.00012147399957029847,0.5,1,1.0000015983420996,0.9982237477499893,2,", if made at all, should be affected as soon as possible after my death",2,as soon as possible after my death . My father died,"The publication , if made at all, should be affected",71.6,75.32
4,3,clean_fileid_4_doa26_spk1_3.wav,4.0,1,clean_spk1,76.0,80.0,26,3.993864097000369,4.0,80.0,80.00016723799945,0.00016723799944884377,0.5,1,1.000002090474993,0.9984660242500922,2,". My father died on the 6th of December,",2,"on the 6th of December, 1882.",as soon as possible after my death . My father died,75.72,79.08
4,4,clean_fileid_4_doa26_spk1_4.wav,4.0,1,clean_spk1,80.0,84.0,26,3.9939535809999143,4.0,84.0,84.00014459999966,0.00014459999965765746,0.5,1,1.0000017214285672,0.9984883952499786,2,1882. It will be seen therefore.,1,It will be seen therefore.,"on the 6th of December, 1882.",79.96,81.17999999999999
5,1,clean_fileid_5_doa338_spk1_1.wav,4.0,1,clean_spk1,84.0,88.0,338,3.9909598659996846,4.0,88.0,88.00013467499957,0.000134674999571871,0.5,1,1.0000015303977223,0.9977399664999211,1,How true!,2,How true! When one has the honor,,84.64,87.46
5,2,clean_fileid_5_doa338_spk1_2.wav,4.0,1,clean_spk1,88.0,92.0,338,3.992646820000118,4.0,92.0,92.00011996099965,0.0001199609996547224,0.5,1,1.0000013039239093,0.9981617050000295,2,When one has the honor of being an expert as a master is,2,"of being an expert as a master is , one mustn't let himself open to",How true! When one has the honor,87.72,91.14
5,3,clean_fileid_5_doa338_spk1_3.wav,4.0,1,clean_spk1,92.0,96.0,338,3.9956220699996265,4.0,96.0,96.00014159900002,0.00014159900001686765,0.5,1,1.0000014749895836,0.9989055174999066,2,", one mustn't let himself open to cause he didn't have time to complete",2,cause he didn't have time to complete the complement. And then midst,"of being an expert as a master is , one mustn't let himself open to",91.97999999999999,95.5
5,4,clean_fileid_5_doa338_spk1_4.wav,4.0,1,clean_spk1,96.0,100.0,338,3.995481748000202,4.0,100.0,100.0002046189993,0.0002046189993052394,0.5,1,1.000002046189993,0.9988704370000505,2,"the complement. And then midst of the general silence, a voice became",2,"of the general silence, a voice became audible.",cause he didn't have time to complete the complement. And then midst,95.67999999999999,98.46
6,1,clean_fileid_6_doa140_spk1_1.wav,4.0,1,clean_spk1,100.0,104.0,140,3.98867582999992,4.0,104.0,104.00014195199947,0.00014195199946698267,0.5,1,1.000001364923072,0.99716895749998,2,audible. He bore up the loudest,2,He bore up the loudest and under his blouse an old black coat,,100.39999999999999,103.5
6,2,clean_fileid_6_doa140_spk1_2.wav,4.0,1,clean_spk1,104.0,108.0,140,3.9928847549999773,4.0,108.0,108.00014186699991,0.00014186699991114438,0.5,1,1.0000013135833326,0.9982211887499943,2,and under his blouse an old black coat . He made pretensions to,2,. He made pretensions to literature and to materialism,He bore up the loudest and under his blouse an old black coat,104.58,107.24
6,3,clean_fileid_6_doa140_spk1_3.wav,4.0,1,clean_spk1,108.0,112.0,140,3.994905196000218,4.0,112.0,112.000156608,0.00015660799999750452,0.5,1,1.0000013982857143,0.9987262990000545,2,literature and to materialism . There were certain names which he often,2,. There were certain names which he often pronounced to support whatever things,. He made pretensions to literature and to materialism,107.97999999999999,111.28
6,4,clean_fileid_6_doa140_spk1_4.wav,4.0,1,clean_spk1,112.0,116.0,140,3.9927489310002784,4.0,116.0,116.00015294999957,0.00015294999957404798,0.5,1,1.0000013185344792,0.9981872327500696,2,pronounced to support whatever things he might be saying. Volta,2,he might be saying. Volta ire.,. There were certain names which he often pronounced to support whatever things,111.69999999999999,113.97999999999999
7,1,clean_fileid_7_doa57_spk1_1.wav,4.0,1,clean_spk1,116.0,120.0,57,3.99355985999955,4.0,120.0,120.00013505900006,0.00013505900005839067,0.5,1,1.0000011254916672,0.9983899649998875,2,ire. Those bullet holes in the back,2,Those bullet holes in the back of the car were fired from above,,116.33999999999999,119.22
7,2,clean_fileid_7_doa57_spk1_2.wav,4.0,1,clean_spk1,120.0,124.0,57,3.9939666039999793,4.0,124.0,124.00014140699932,0.00014140699931886047,0.5,1,1.0000011403790268,0.9984916509999948,2,of the car were fired from above and behind the machine. They,2,"and behind the machine. They slanted down, but not sideways",Those bullet holes in the back of the car were fired from above,119.74,123.3
7,3,clean_fileid_7_doa57_spk1_3.wav,4.0,1,clean_spk1,124.0,128.0,57,3.9948565459999372,4.0,128.0,128.00014366100004,0.00014366100003826432,0.5,1,1.0000011223515628,0.9987141364999843,2,"slanted down, but not sideways .",1,.,"and behind the machine. They slanted down, but not sideways",124.16,124.161
8,1,clean_fileid_8_doa333_spk1_1.wav,4.0,1,clean_spk1,128.0,132.0,333,3.991011659999458,4.0,132.0,132.0001318730001,0.00013187300010031322,0.5,1,1.0000009990378795,0.9977529149998645,1,They wanted to learn the game,2,"They wanted to learn the game . At 2 o'clock, the",,128.35999999999999,131.51999999999998
8,2,clean_fileid_8_doa333_spk1_2.wav,4.0,1,clean_spk1,132.0,136.0,333,3.9950348970005507,4.0,136.0,136.00014207599997,0.0001420759999746224,0.5,1,1.0000010446764704,0.9987587242501377,2,". At 2 o'clock, the captain asked the mate how we were getting on",2,"captain asked the mate how we were getting on . Oh, pretty glibly","They wanted to learn the game . At 2 o'clock, the",131.64,135.54
8,3,clean_fileid_8_doa333_spk1_3.wav,4.0,1,clean_spk1,136.0,140.0,333,3.9924546610000107,4.0,140.0,140.00013862800006,0.00013862800005881581,0.5,1,1.0000009902000004,0.9981136652500027,2,". Oh, pretty glibly , sir, replied the mate. We can",2,", sir, replied the mate. We can scarcely tell what headway we are making","captain asked the mate how we were getting on . Oh, pretty glibly",135.72,139.0
8,4,clean_fileid_8_doa333_spk1_4.wav,4.0,1,clean_spk1,140.0,144.0,333,3.995144431999506,4.0,144.0,144.00018081599956,0.0001808159995562164,0.5,1,1.0000012556666635,0.9987861079998765,2,"scarcely tell what headway we are making , for we are obliged to keep the middle of the river",2,", for we are obliged to keep the middle of the river . And there is the shadow of a fog rising",", sir, replied the mate. We can scarcely tell what headway we are making",139.76,143.57999999999998
8,5,clean_fileid_8_doa333_spk1_5.wav,4.0,1,clean_spk1,144.0,148.0,333,3.993035557999974,4.0,148.0,148.00014133199966,0.00014133199965726817,0.5,1,1.0000009549459437,0.9982588894999935,2,. And there is the shadow of a fog rising .,1,.,", for we are obliged to keep the middle of the river . And there is the shadow of a fog rising",144.2,144.201
9,1,clean_fileid_9_doa314_spk1_1.wav,4.0,1,clean_spk1,148.0,152.0,314,3.993199953999465,4.0,152.0,152.0001608019993,0.00016080199930001982,0.5,1,1.0000010579078902,0.9982999884998662,1,The deaf gentlemen submitted,2,The deaf gentlemen submitted . Why did you invite yourself,,148.26,151.14
9,2,clean_fileid_9_doa314_spk1_2.wav,4.0,1,clean_spk1,152.0,156.0,314,3.9898425139999745,4.0,156.0,156.0001243279994,0.00012432799940143013,0.5,1,1.0000007969743552,0.9974606284999936,2,. Why did you invite yourself ? Because a tea party is not,2,? Because a tea party is not complete without a woman. Her,The deaf gentlemen submitted . Why did you invite yourself,151.6,155.5
9,3,clean_fileid_9_doa314_spk1_3.wav,4.0,1,clean_spk1,156.0,160.0,314,3.9938657370003057,4.0,160.0,160.0001607639997,0.00016076399970188504,0.5,1,1.000001004774998,0.9984664342500764,2,complete without a woman. Her manner was as strangely altered as her,2,manner was as strangely altered as her looks. That she was,? Because a tea party is not complete without a woman. Her,155.7,159.5
9,4,clean_fileid_9_doa314_spk1_4.wav,4.0,1,clean_spk1,160.0,164.0,314,3.9934017709992986,4.0,164.0,164.00015505400006,0.00015505400006077252,0.5,1,1.00000094545122,0.9983504427498247,2,looks. That she was beside herself for the moment I clearly saw,2,beside herself for the moment I clearly saw .,manner was as strangely altered as her looks. That she was,159.66,161.861
10,1,clean_fileid_10_doa3_spk1_1.wav,4.0,1,clean_spk1,164.0,168.0,3,3.9945245159997285,4.0,168.0,168.00018249200002,0.00018249200002173893,0.5,1,1.0000010862619049,0.9986311289999321,2,. Here he saw clients when,2,Here he saw clients when Mr. Carlisle was out or engaged,,164.38,167.22
10,2,clean_fileid_10_doa3_spk1_2.wav,4.0,1,clean_spk1,168.0,172.0,3,3.99494396099999,4.0,172.0,172.00012644099934,0.00012644099933822872,0.5,1,1.0000007351220892,0.9987359902499975,2,"Mr. Carlisle was out or engaged , and here he issued private orders",2,", and here he issued private orders . A little window, not",Here he saw clients when Mr. Carlisle was out or engaged,167.76,171.51999999999998
10,3,clean_fileid_10_doa3_spk1_3.wav,4.0,1,clean_spk1,172.0,176.0,3,3.994516234999537,4.0,176.0,176.00015182599964,0.0001518259996373672,0.5,1,1.0000008626477253,0.9986290587498843,2,". A little window, not larger than a pane of glass, looked out",2,"larger than a pane of glass, looked out from the clerk's office. They called it",", and here he issued private orders . A little window, not",171.73999999999998,175.54
10,4,clean_fileid_10_doa3_spk1_4.wav,4.0,1,clean_spk1,176.0,180.0,3,3.9927794450004512,4.0,180.0,180.00017182899956,0.00017182899955514586,0.5,1,1.000000954605553,0.9981948612501128,2,"from the clerk's office. They called it ""Old Dills People"" and wished",2,"""Old Dills People"" and wished it anywhere else.","larger than a pane of glass, looked out from the clerk's office. They called it",175.72,178.76
11,1,clean_fileid_11_doa264_spk1_1.wav,4.0,1,clean_spk1,180.0,184.0,264,3.9944985659994927,4.0,184.0,184.000177635,0.0001776350000000093,0.5,1,1.0000009654076087,0.9986246414998732,2,it anywhere else. Seize me bowling along the,2,Seize me bowling along the road straight when he delivers himself,,180.22,183.38
11,2,clean_fileid_11_doa264_spk1_2.wav,4.0,1,clean_spk1,184.0,188.0,264,3.993220162000398,4.0,188.0,188.00013350500012,0.00013350500012165867,0.5,1,1.0000007101329793,0.9983050405000995,2,"road straight when he delivers himself of the yell, pure and simple",2,"of the yell, pure and simple . At Perry's Burg I",Seize me bowling along the road straight when he delivers himself,183.94,187.4
11,3,clean_fileid_11_doa264_spk1_3.wav,4.0,1,clean_spk1,188.0,192.0,264,3.9943787829997746,4.0,192.0,192.00012584700016,0.0001258470001630485,0.5,1,1.0000006554531258,0.9985946957499436,2,. At Perry's Burg I strike the famous Mommy Pike,2,"strike the famous Mommy Pike , 40 miles of stone","of the yell, pure and simple . At Perry's Burg I",187.78,191.32
11,4,clean_fileid_11_doa264_spk1_4.wav,4.0,1,clean_spk1,192.0,196.0,264,3.9951388550007323,4.0,196.0,196.0001050439996,0.00010504399961064337,0.5,1,1.0000005359387736,0.9987847137501831,2,", 40 miles of stone road, almost a dead level",2,"road, almost a dead level .","strike the famous Mommy Pike , 40 miles of stone",191.79999999999998,193.761
12,1,clean_fileid_12_doa38_spk1_1.wav,4.0,1,clean_spk1,196.0,200.0,38,3.9949110979996476,4.0,200.0,200.00016149199928,0.00016149199927895097,0.5,1,1.0000008074599964,0.9987277744999119,2,. Of any other matter,2,Of any other matter which might have been praying upon her,,196.29999999999998,199.48
12,2,clean_fileid_12_doa38_spk1_2.wav,4.0,1,clean_spk1,200.0,204.0,38,3.994645474000208,4.0,204.0,204.00013217200012,0.00013217200012149988,0.5,1,1.0000006479019614,0.998661368500052,2,which might have been praying upon her husband's mind recently.,2,husband's mind recently. Mrs. Madison knew of,Of any other matter which might have been praying upon her,199.62,203.46
12,3,clean_fileid_12_doa38_spk1_3.wav,4.0,1,clean_spk1,204.0,208.0,38,3.993358009000076,4.0,208.0,208.00013749299978,0.0001374929997837171,0.5,1,1.0000006610240375,0.998339502250019,2,Mrs. Madison knew of none what-up.,2,none what-up. The coroner intimated that her,husband's mind recently. Mrs. Madison knew of,203.76,207.26
12,4,clean_fileid_12_doa38_spk1_4.wav,4.0,1,clean_spk1,208.0,212.0,38,3.9934949610005788,4.0,212.0,212.00013093799953,0.00013093799952912377,0.5,1,1.0000006176320733,0.9983737402501447,2,"The coroner intimated that her ordeal was at an end, and the",3,"ordeal was at an end, and the veiled lady made her way to the door .",none what-up. The coroner intimated that her,207.66,211.721
12,5,clean_fileid_12_doa38_spk1_5.wav,4.0,1,clean_spk1,212.0,216.0,38,3.9946091120000347,4.0,216.0,216.00014532399928,0.000145323999277025,0.5,1,1.000000672796293,0.9986522780000087,2,veiled lady made her way to the door .,0,,"ordeal was at an end, and the veiled lady made her way to the door .",,
13,1,clean_fileid_13_doa5_spk1_1.wav,4.0,1,clean_spk1,216.0,220.0,5,3.993724881000162,4.0,220.0,220.0001808199995,0.0001808199995139148,0.5,1,1.0000008219090888,0.9984312202500405,1,No matter how difficult,2,"No matter how difficult , he must succeed it or",,216.29999999999998,219.51999999999998
13,2,clean_fileid_13_doa5_spk1_2.wav,4.0,1,clean_spk1,220.0,224.0,5,3.9955589279998094,4.0,224.0,224.0001332089996,0.00013320899961399846,0.5,1,1.000000594683034,0.9988897319999523,2,", he must succeed it or die.",2,"die. They did not think long, but","No matter how difficult , he must succeed it or",219.72,223.54
13,3,clean_fileid_13_doa5_spk1_3.wav,4.0,1,clean_spk1,224.0,228.0,5,3.994747024999924,4.0,228.0,228.0001858629994,0.0001858629993876093,0.5,1,1.0000008151885937,0.998686756249981,2,"They did not think long, but replied, ""Let him build your",2,"replied, ""Let him build your majesty in one day","die. They did not think long, but",223.64,227.06
13,4,clean_fileid_13_doa5_spk1_4.wav,4.0,1,clean_spk1,228.0,232.0,5,3.9931754720000754,4.0,232.0,232.00014704099976,0.00014704099976370344,0.5,1,1.0000006337974128,0.9982938680000188,2,majesty in one day a more beautiful palace than this,2,a more beautiful palace than this . And if he fails in the attempt,"replied, ""Let him build your majesty in one day",227.62,231.23999999999998
13,5,clean_fileid_13_doa5_spk1_5.wav,4.0,1,clean_spk1,232.0,236.0,5,3.992012317999979,4.0,236.0,236.00014462299987,0.0001446229998691706,0.5,1,1.0000006128093215,0.9980030794999948,1,. And if he fails in the attempt,0,,a more beautiful palace than this . And if he fails in the attempt,,
14,1,clean_fileid_14_doa181_spk1_1.wav,4.0,1,clean_spk1,236.0,240.0,181,3.9946286949998466,4.0,240.0,240.00013409699932,0.00013409699931798968,0.5,1,1.0000005587374972,0.9986571737499617,1,This was a curious consolation,2,This was a curious consolation . The two spent hours together,,236.28,239.35999999999999
14,2,clean_fileid_14_doa181_spk1_2.wav,4.0,1,clean_spk1,240.0,244.0,181,3.994663378000041,4.0,244.0,244.00023739399967,0.00023739399966871133,0.5,1,1.0000009729262282,0.9986658445000103,2,. The two spent hours together sometimes in the tiny parlor,2,"sometimes in the tiny parlor , stumbling over Berlin wall difficulties",This was a curious consolation . The two spent hours together,239.73999999999998,242.98
14,3,clean_fileid_14_doa181_spk1_3.wav,4.0,1,clean_spk1,244.0,248.0,181,3.9953047210001387,4.0,248.0,248.0003208879998,0.0003208879998055636,0.5,1,1.000001293903225,0.9988261802500347,2,", stumbling over Berlin wall difficulties and now and then wandering true and fro",2,"and now and then wandering true and fro , conversationally, from Priscilla","sometimes in the tiny parlor , stumbling over Berlin wall difficulties",243.68,247.54
14,4,clean_fileid_14_doa181_spk1_4.wav,4.0,1,clean_spk1,248.0,252.0,181,3.9950449089992617,4.0,252.0,252.00013759099966,0.00013759099965682253,0.5,1,1.0000005459960304,0.9987612272498154,2,", conversationally, from Priscilla to the octagon stitch, and from the",2,"to the octagon stitch, and from the octagon stitch to the denis.","and now and then wandering true and fro , conversationally, from Priscilla",247.79999999999998,251.26
14,5,clean_fileid_14_doa181_spk1_5.wav,4.0,1,clean_spk1,252.0,256.0,181,3.9939078960005645,4.0,256.0,256.000139363,0.0001393630000166013,0.5,1,1.0000005443867188,0.9984769740001411,2,octagon stitch to the denis. you,3,you you .,"to the octagon stitch, and from the octagon stitch to the denis.",253.2,254.40300000000002
15,1,clean_fileid_15_doa266_spk1_1.wav,4.0,1,clean_spk1,256.0,260.0,266,3.9919044929993106,4.0,260.0,260.0001356919993,0.0001356919992758776,0.5,1,1.000000521892305,0.9979761232498277,2,you .,1,"When unsure, he followed his favorites like",,256.56,259.56
15,2,clean_fileid_15_doa266_spk1_2.wav,4.0,1,clean_spk1,260.0,264.0,266,3.9945790859992485,4.0,264.0,264.00012976699963,0.00012976699963473948,0.5,1,1.0000004915416654,0.9986447714998121,2,"When unsure, he followed his favorites like a dog and was never known",2,"a dog and was never known to root, except in","When unsure, he followed his favorites like",259.82000000000005,263.46000000000004
15,3,clean_fileid_15_doa266_spk1_3.wav,4.0,1,clean_spk1,264.0,268.0,266,3.9950889199999438,4.0,268.0,268.00019180099935,0.00019180099934601458,0.5,1,1.0000007156753707,0.9987722299999859,2,"to root, except in speech and appearance he was the counterpart",2,"speech and appearance he was the counterpart of a happy, good-nature","a dog and was never known to root, except in",263.66,267.32000000000005
15,4,clean_fileid_15_doa266_spk1_4.wav,4.0,1,clean_spk1,268.0,272.0,266,3.992686880999827,4.0,272.0,272.0001469429999,0.000146942999890598,0.5,1,1.0000005402316172,0.9981717202499567,2,"of a happy, good-nature d, and well-cared-for household dog",2,"d, and well-cared-for household dog .","speech and appearance he was the counterpart of a happy, good-nature",267.6,270.141
16,1,clean_fileid_16_doa36_spk1_1.wav,4.0,1,clean_spk1,272.0,276.0,36,3.992569196000659,4.0,276.0,276.00013970799955,0.00013970799955131952,0.5,1,1.000000506188404,0.9981422990001647,2,. One hot summer day,2,"One hot summer day , a few months after the marriage",,271.82000000000005,274.86
16,2,clean_fileid_16_doa36_spk1_2.wav,4.0,1,clean_spk1,276.0,280.0,36,3.9945964230000754,4.0,280.0,280.0001273909993,0.0001273909992960398,0.5,1,1.0000004549678547,0.9986491057500189,2,", a few months after the marriage , Juliet returning to the consulate",2,", Juliet returning to the consulate after a morning spent in very active","One hot summer day , a few months after the marriage",275.76000000000005,279.46000000000004
16,3,clean_fileid_16_doa36_spk1_3.wav,4.0,1,clean_spk1,280.0,284.0,36,3.995323279999866,4.0,284.0,284.0001519319994,0.00015193199942586944,0.5,1,1.000000534971829,0.9988308199999665,2,after a morning spent in very active exercise upon a tennis court,2,"exercise upon a tennis court , was met on the doorstep by",", Juliet returning to the consulate after a morning spent in very active",279.86,283.52000000000004
16,4,clean_fileid_16_doa36_spk1_4.wav,4.0,1,clean_spk1,284.0,288.0,36,3.9940793639998446,4.0,288.0,288.0001473659995,0.00014736599950992968,0.5,1,1.0000005116874984,0.9985198409999612,2,", was met on the doorstep by Dora, the youngest of the Cl",2,"Dora, the youngest of the Cl arence Butchers.","exercise upon a tennis court , was met on the doorstep by",283.74,286.68
17,1,clean_fileid_17_doa99_spk1_1.wav,4.0,1,clean_spk1,288.0,292.0,99,3.9937082070000542,4.0,292.0,292.00013732499974,0.000137324999741395,0.5,1,1.000000470291095,0.9984270517500136,2,arence Butchers. Wasn't she later on engaged to,2,Wasn't she later on engaged to a man whom she really loved? Yes,,288.3,291.56
17,2,clean_fileid_17_doa99_spk1_2.wav,4.0,1,clean_spk1,292.0,296.0,99,3.9956914929998675,4.0,296.0,296.00015422699926,0.0001542269992569345,0.5,1,1.0000005210371596,0.9989228732499669,2,"a man whom she really loved? Yes , that was it. And during all the time",2,", that was it. And during all the time she kept up her old liaison",Wasn't she later on engaged to a man whom she really loved? Yes,291.82000000000005,294.70000000000005
17,3,clean_fileid_17_doa99_spk1_3.wav,4.0,1,clean_spk1,296.0,300.0,99,3.99479142600012,4.0,300.0,300.00020184499954,0.0002018449995375704,0.5,1,1.000000672816665,0.99869785650003,2,she kept up her old liaison . The author wanted to show that a woman can,2,". The author wanted to show that a woman can love in two ways, a man only in",", that was it. And during all the time she kept up her old liaison",295.20000000000005,299.5
17,4,clean_fileid_17_doa99_spk1_4.wav,4.0,1,clean_spk1,300.0,304.0,99,3.9942446860004566,4.0,304.0,304.0001203949996,0.00012039499961247202,0.5,1,1.000000396036183,0.9985611715001141,2,"love in two ways, a man only in one. That's true enough, isn't it",2,"one. That's true enough, isn't it ? Certainly.",". The author wanted to show that a woman can love in two ways, a man only in",299.68,302.34000000000003
18,1,clean_fileid_18_doa181_spk1_1.wav,4.0,1,clean_spk1,304.0,308.0,181,3.9953916939994087,4.0,308.0,308.00014446800014,0.00014446800014411565,0.5,1,1.0000004690519486,0.9988479234998522,2,? Certainly. And don't I hope that first,2,And don't I hope that first picture turns out good? It was,,303.82000000000005,307.56
18,2,clean_fileid_18_doa181_spk1_2.wav,4.0,1,clean_spk1,308.0,312.0,181,3.995369096000104,4.0,312.0,312.0001540590001,0.00015405900012410711,0.5,1,1.0000004937788465,0.998842274000026,2,picture turns out good? It was a remarkable pose if only the,2,a remarkable pose if only the focus was right.,And don't I hope that first picture turns out good? It was,307.72,310.74
