fileid,mic_file,text_file,gt_doa,pred_doa,doa_error_deg,spk,wer,edit_distance,ref_words,ipdnet_sec,dsenet_sec,whisper_sec,total_target_sec,reference,hypothesis,speaker_id,enhanced_file,clean_file,mixture_file,mic_channel,duration_metric_sec,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,metrics_ok,missing_reason
10,mic_fileid_10_doa3_3spk.wav,text_fileid_10_doa3_spk1.txt,3,6,3.0,1,0.08888888888888889,4,45,0.2561727740001061,4.171776867999824,0.5353027870000915,4.963252429000022,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Here he saw clients when Mr. Carlisle was out or engaged, and here he issued private orders. A little window, not larger than a pane of glass, looked out from the clerk's office. They called it Old Dills Peephole and wished it anywhere else.",1,enhanced_fileid_10_gt3_pred6_spk1.wav,clean_fileid_10_doa3_spk1.wav,mic_fileid_10_doa3_3spk.wav,1,15.430875,6.595269680023193,19.671354293823242,13.076084613800049,6.582214832305908,19.515228271484375,12.933013439178467,1.1794668436050415,3.651442289352417,2.4719754457473755,1,
11,mic_fileid_11_doa264_3spk.wav,text_fileid_11_doa264_spk1.txt,264,260,4.0,1,0.15625,5,32,0.28183702799992716,4.337856969999848,0.37160462100018776,4.991298618999963,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Sees me bowling along the road straight when he delivers himself of a yell, pure and simple. At Perrysburg I strike the famous Wobby Pike, 40 miles of stone road almost a dead level.",1,enhanced_fileid_11_gt264_pred260_spk1.wav,clean_fileid_11_doa264_spk1.wav,mic_fileid_11_doa264_3spk.wav,1,15.341125,2.552096366882324,13.26501750946045,10.712921142578125,2.513597249984741,13.138763427734375,10.625166177749634,1.2188899517059326,2.5918564796447754,1.3729665279388428,1,
12,mic_fileid_12_doa38_3spk.wav,text_fileid_12_doa38_spk1.txt,38,40,2.0,1,0.125,5,40,0.294367007999881,5.159327092000012,0.5365534019999814,5.990247501999875,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,of any other matter which might have been praying upon her husband's mind recently. Mrs. Maderson knew of none what a the coroner intimated that her ordeal was at an end and the veiled lady made her way to the door.,1,enhanced_fileid_12_gt38_pred40_spk1.wav,clean_fileid_12_doa38_spk1.wav,mic_fileid_12_doa38_3spk.wav,1,17.2835,2.3310248851776123,13.774181365966797,11.443156480789185,2.310882091522217,13.654592514038086,11.34371042251587,1.4103443622589111,3.2080533504486084,1.7977089881896973,1,
13,mic_fileid_13_doa5_3spk.wav,text_fileid_13_doa5_spk1.txt,5,344,21.0,1,1.205128205128205,47,39,0.2716958710000199,4.90045546999977,0.470310550000022,5.642461890999812,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,"Felt herself a princess and carried her authority over him with a high tone in all their arrangements. She had a fancy for Lord David. Lord David was handsome, but that was over and above the bargain. She considered him to be fashionable. To be fashionable is everything.",1,enhanced_fileid_13_gt5_pred344_spk1.wav,clean_fileid_13_doa5_spk1.wav,mic_fileid_13_doa5_3spk.wav,1,17.18075,3.7321784496307373,-25.399646759033203,-29.13182520866394,3.7215280532836914,-35.278533935546875,-39.000061988830566,1.3005075454711914,1.0954257249832153,-0.20508182048797607,1,
14,mic_fileid_14_doa181_3spk.wav,text_fileid_14_doa181_spk1.txt,181,181,0.0,1,0.09523809523809523,4,42,0.3324802339998314,4.965038845000208,0.4842496020000908,5.7817686810001305,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious consolation. The two spend hours together sometimes in the tiny parlor, stumbling over Berlin wall difficulties and now and then wandering true and fro, conversationally from Priscilla to the octagon stitch and from the octagon stitch to Dennis.",1,enhanced_fileid_14_gt181_pred181_spk1.wav,clean_fileid_14_doa181_spk1.wav,mic_fileid_14_doa181_3spk.wav,1,16.749,5.893156051635742,16.741666793823242,10.8485107421875,5.878010272979736,16.682384490966797,10.80437421798706,1.3085827827453613,3.4709432125091553,2.162360429763794,1,
15,mic_fileid_15_doa266_3spk.wav,text_fileid_15_doa266_spk1.txt,266,263,3.0,1,0.1388888888888889,5,36,0.25566366800012474,4.368697050000264,0.4201223850000133,5.0444831030004025,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"When on shore, he followed his favorites like a dog, and was never known to root. Except in speech and appearance, he was the counterpart of a happy, good-natured, and well-cared-for household dog.",1,enhanced_fileid_15_gt266_pred263_spk1.wav,clean_fileid_15_doa266_spk1.wav,mic_fileid_15_doa266_3spk.wav,1,15.4725,4.412204265594482,14.847681045532227,10.435476779937744,4.383063316345215,14.727959632873535,10.34489631652832,1.276834487915039,3.243199348449707,1.966364860534668,1,
16,mic_fileid_16_doa36_3spk.wav,text_fileid_16_doa36_spk1.txt,36,35,1.0,1,0.025,1,40,0.264514588999873,4.374482661999991,0.5105933359998289,5.149590586999693,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,"One hot summer day, a few months after the marriage, Juliet, returning to the consulate after a morning spent in very active exercise upon a tennis court, was met on the doorstep by Dora, the youngest of the Clarence Butchers.",1,enhanced_fileid_16_gt36_pred35_spk1.wav,clean_fileid_16_doa36_spk1.wav,mic_fileid_16_doa36_3spk.wav,1,15.66525,5.2378387451171875,17.250125885009766,12.012287139892578,5.223731517791748,17.120824813842773,11.897093296051025,1.2247428894042969,3.3184337615966797,2.093690872192383,1,
17,mic_fileid_17_doa99_3spk.wav,text_fileid_17_doa99_spk1.txt,99,98,1.0,1,0.0,0,51,0.26030101499986813,4.665957529000252,0.5209206230001655,5.447179167000286,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged to a man whom she really loved? Yes, that was it. And during all the time she kept up her old liaison. The author wanted to show that a woman can love in two ways. A man only in one. That's true enough, isn't it? Certainly.",1,enhanced_fileid_17_gt99_pred98_spk1.wav,clean_fileid_17_doa99_spk1.wav,mic_fileid_17_doa99_3spk.wav,1,15.724375,3.5100290775299072,15.776665687561035,12.266636610031128,3.4998793601989746,15.634389877319336,12.134510517120361,1.4027400016784668,3.5016214847564697,2.098881483078003,1,
18,mic_fileid_18_doa181_3spk.wav,text_fileid_18_doa181_spk1.txt,181,182,1.0,1,0.022222222222222223,1,45,0.2514918890001354,4.136788651000188,0.46770315499998105,4.855983695000305,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,And don't I hope that first picture turns out good? It was a remarkable pose if only the focus was right. He started toward the cabin door as though anxious to develop his role of film and discover what success his labor had resulted in.,1,enhanced_fileid_18_gt181_pred182_spk1.wav,clean_fileid_18_doa181_spk1.wav,mic_fileid_18_doa181_3spk.wav,1,15.64625,5.432191371917725,19.34282684326172,13.910635471343994,5.418632507324219,19.23729705810547,13.81866455078125,1.3465945720672607,3.886615514755249,2.5400209426879883,1,
19,mic_fileid_19_doa340_3spk.wav,text_fileid_19_doa340_spk1.txt,340,337,3.0,1,0.11904761904761904,5,42,0.25913183699981346,4.857625419999977,0.40326840800003083,5.520025664999821,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"The injuries to DotCova had delayed the march so greatly that it was decided to give up the expedition, which was arrayed upon a small, dark community in retaliation for the destruction of the incubator until after the Great Games.",1,enhanced_fileid_19_gt340_pred337_spk1.wav,clean_fileid_19_doa340_spk1.wav,mic_fileid_19_doa340_3spk.wav,1,16.21125,6.309501647949219,19.05232048034668,12.742818832397461,6.3009161949157715,18.951412200927734,12.650496006011963,1.340700626373291,3.7576358318328857,2.4169352054595947,1,
20,mic_fileid_20_doa68_3spk.wav,text_fileid_20_doa68_spk1.txt,68,150,82.0,1,0.9411764705882353,32,34,0.2672317920000751,4.748340838000104,2.271713263000038,7.287285893000217,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,"[♪ Speakers are speaking over video to the speaker, have a quick look at him Quinn! Australia. Thank you very much. I will miss you. Well, thank you.",1,enhanced_fileid_20_gt68_pred150_spk1.wav,clean_fileid_20_doa68_spk1.wav,mic_fileid_20_doa68_3spk.wav,1,13.295875,3.667689800262451,-21.580718994140625,-25.248408794403076,3.642486333847046,-28.10077476501465,-31.743261098861694,1.3482533693313599,1.0503315925598145,-0.2979217767715454,1,
21,mic_fileid_21_doa34_3spk.wav,text_fileid_21_doa34_spk1.txt,34,32,2.0,1,0.02702702702702703,1,37,0.2772654729999431,5.175832769999943,0.4942563590000191,5.947354601999905,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,"We then went to work to make clothes after the pattern of the Natcheli Eskimo, and the sewing went on early and late. Thick anoraks and thin ones, heavy breeches and light, winter stockings and summer stockings.",1,enhanced_fileid_21_gt34_pred32_spk1.wav,clean_fileid_21_doa34_spk1.wav,mic_fileid_21_doa34_3spk.wav,1,14.70475,5.8621110916137695,16.925132751464844,11.063021659851074,5.846676826477051,16.746368408203125,10.899691581726074,1.4030921459197998,3.666799306869507,2.263707160949707,1,
22,mic_fileid_22_doa345_3spk.wav,text_fileid_22_doa345_spk1.txt,345,328,17.0,1,0.05263157894736842,2,38,0.2780643809999219,4.974429919000158,0.43564192000008006,5.68813622000016,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,"They have merely gone to work in a business-like manner and used their wits and common sense in educating the voters. Really my dears, I'm more proud of you today than I've ever been before, he concluded.",1,enhanced_fileid_22_gt345_pred328_spk1.wav,clean_fileid_22_doa345_spk1.wav,mic_fileid_22_doa345_3spk.wav,1,13.19725,2.919387102127075,15.07869815826416,12.159311056137085,2.895563840866089,14.819878578186035,11.924314737319946,1.1457661390304565,2.289769411087036,1.1440032720565796,1,
23,mic_fileid_23_doa212_3spk.wav,text_fileid_23_doa212_spk1.txt,212,187,25.0,1,1.0,48,48,0.2676573460000782,4.603175829999827,0.07323815099994135,4.944071326999847,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,,1,enhanced_fileid_23_gt212_pred187_spk1.wav,clean_fileid_23_doa212_spk1.wav,mic_fileid_23_doa212_3spk.wav,1,15.3915,4.834820747375488,-25.36469841003418,-30.199519157409668,4.819578647613525,-45.298274993896484,-50.11785364151001,1.343172311782837,1.051514744758606,-0.29165756702423096,1,
24,mic_fileid_24_doa289_3spk.wav,text_fileid_24_doa289_spk1.txt,289,289,0.0,1,0.024390243902439025,1,41,0.2770760110001902,4.788915863999819,0.5699970030000259,5.635988878000035,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I had not forgotten the livid, jagged furrows in Mercer's side. Quickly as I shot to the ladder, she was there before me, a dim, wavering, white shape, waiting. I paused, holding to a rung of a ladder with one hand.",1,enhanced_fileid_24_gt289_pred289_spk1.wav,clean_fileid_24_doa289_spk1.wav,mic_fileid_24_doa289_3spk.wav,1,15.51325,3.908278703689575,17.035287857055664,13.127009153366089,3.895155429840088,16.822046279907227,12.926890850067139,1.2749168872833252,3.584709644317627,2.3097927570343018,1,
25,mic_fileid_25_doa112_3spk.wav,text_fileid_25_doa112_spk1.txt,112,114,2.0,1,0.0,0,36,0.23909293900010198,3.916268145999993,0.34797860600019703,4.503339691000292,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,"There was the sweetness of the Mayflower and the strength of the young oak, but one could easily divine that she was one of the souls by nature pitched too high by suffering plunged too low.",1,enhanced_fileid_25_gt112_pred114_spk1.wav,clean_fileid_25_doa112_spk1.wav,mic_fileid_25_doa112_3spk.wav,1,11.18875,2.8733482360839844,15.131200790405273,12.257852554321289,2.8497815132141113,14.921014785766602,12.07123327255249,1.189566969871521,3.3797292709350586,2.1901623010635376,1,
26,mic_fileid_26_doa34_3spk.wav,text_fileid_26_doa34_spk1.txt,34,34,0.0,1,0.029411764705882353,1,34,0.23970706899990546,4.166018796000117,0.36928023400014354,4.775006099000166,THEY CAME FROM THE EAST WEST NORTH AND SOUTH ALL SORRY TO KNOW OF HER ILLNESS AND BRINGING PRESENTS WITH THEM SOMETIMES IT WAS A LITTLE LIVE BIRD OR SQUIRREL A DELICIOUS SALMON TROUT,"They came from the east, west, north and south, all sorry to know of her illness and bringing presence with them. Sometimes it was a little live bird or squirrel. A delicious salmon trout.",1,enhanced_fileid_26_gt34_pred34_spk1.wav,clean_fileid_26_doa34_spk1.wav,mic_fileid_26_doa34_3spk.wav,1,14.602125,-4.02968692779541,13.406702995300293,17.436389923095703,-4.044661521911621,13.283117294311523,17.327778816223145,1.078001856803894,2.3922390937805176,1.3142372369766235,1,
27,mic_fileid_27_doa173_3spk.wav,text_fileid_27_doa173_spk1.txt,173,161,12.0,1,0.08571428571428572,3,35,0.2764881069999774,4.980484810000007,0.4441079109999464,5.701080827999931,IT SEEMS THAT THE PUBLIC ADMIRE HER AS MUCH AS I HAVE DONE I I SHALL FIND HER SOME DAY THEN SHE WILL RETURN TO ME STILL THINKING OF HER I OBSERVED REPROACHFULLY YES ALWAYS,"It seems that the public admire her as much as I have done. I shall find her someday, then she will return to me. Still thinking of her? I observed reproachfully. Yes, always.",1,enhanced_fileid_27_gt173_pred161_spk1.wav,clean_fileid_27_doa173_spk1.wav,mic_fileid_27_doa173_3spk.wav,1,17.2175,2.9897117614746094,18.039758682250977,15.050046920776367,2.980069160461426,17.731117248535156,14.75104808807373,1.3772306442260742,3.5035173892974854,2.126286745071411,1,
28,mic_fileid_28_doa217_3spk.wav,text_fileid_28_doa217_spk1.txt,217,216,1.0,1,0.10344827586206896,3,29,0.2717989650000163,4.83927343099981,0.3722173199998906,5.483289715999717,FELL FAR SHORT DON'T LOOK BACK GRUNTED VENTNOR STRETCH YOURSELF WALTER THERE'S A SURPRISE COMING HOPE TO GOD I JUDGED THE TIME RIGHT WE TURNED OFF THE RUINED WAY,"Fell far short. Don't look back, Grunt Inventor. Stretch yourself, Walter. There's a surprise coming. Hope to God I judged the time right. We turned off the ruin way.",1,enhanced_fileid_28_gt217_pred216_spk1.wav,clean_fileid_28_doa217_spk1.wav,mic_fileid_28_doa217_3spk.wav,1,12.432375,3.1241767406463623,15.937296867370605,12.813120126724243,3.112459421157837,15.724124908447266,12.611665487289429,1.5074307918548584,3.3733408451080322,1.8659100532531738,1,
