fileid,mic_file,duration_sec,predicted_doa_count,predicted_doas,selected_enhanced_index,selected_doa,selected_rms,selected_enhanced_file,gt_dominant_spk1_doa,selected_doa_error_deg,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,ipdnet2_sec,dsenet_sec,whisper_sec,total_sec,ipdnet2_rtf,dsenet_rtf,whisper_rtf,total_rtf,under_realtime
10,mic_fileid_10_doa3_3spk.wav,15.430875,3,"9,116,156",0,9,0.05339955655609811,enhanced_fileid_10_pred9_idx0_loudest.wav,3,6.0,text_fileid_10_doa3_spk1.txt,0.15555555555555556,7,45,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Here he found clients when Mr. Carlisle was out or engaged, and here he issued private orders. A little window, not larger than a faint of glass, looked out from the clerk's office. They called it old bills, people, and wished it anywhere else.",0.12938002399982906,4.397889392000025,0.4779434429999583,5.005212858999812,0.008384490445281233,0.2850058335642032,0.030973191280465835,0.3243635152899503,1
11,mic_fileid_11_doa93_3spk.wav,15.721,3,"89,95,202",0,89,0.03873330526644382,enhanced_fileid_11_pred89_idx0_loudest.wav,264,175.0,text_fileid_11_doa264_spk1.txt,1.3125,42,32,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Rapid motion through space in Lake One, so does notoriety, so does the possession of money. It was three good reasons for Dignity to settle it. He had been seen by many of his friends that day in the company of these touchin' ittles.",0.12204881399998158,4.509179188999951,0.5475315119999777,5.178759514999911,0.007763425609056776,0.2868252139812958,0.03482803333121161,0.3294166729215642,1
12,mic_fileid_12_doa38_3spk.wav,17.289,3,"37,99,226",0,37,0.053174322948735205,enhanced_fileid_12_pred37_idx0_loudest.wav,38,1.0,text_fileid_12_doa38_spk1.txt,0.15,6,40,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"of any other matter which might have been craving upon her husband's mind recently. Mrs. Madison knew of none what of her. The coroner intimated that her ordeal was at an end, and the veiled lady made her way to the door.",0.15002775600009954,5.257838679000088,0.4981883460000063,5.9060547810001935,0.008677642200248687,0.30411467863960245,0.028815336109665465,0.3416076569495166,1
13,mic_fileid_13_doa5_3spk.wav,17.47475,3,"3,25,77",0,3,0.044375291267239,enhanced_fileid_13_pred3_idx0_loudest.wav,5,2.0,text_fileid_13_doa5_spk1.txt,0.05128205128205128,2,39,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,"No matter how difficult, he must succeed in it or die."" They did not think long, but replied, Let him build your majesty in one day a more beautiful palace than this, and if he fails, he will attempt...",0.1407335400001557,5.4474773100000675,0.4819122439998864,6.07012309400011,0.008053536674353321,0.3117342056395695,0.027577633099179467,0.3473653754131023,1
14,mic_fileid_14_doa181_3spk.wav,17.749,3,"10,184,333",1,184,0.06183674301011702,enhanced_fileid_14_pred184_idx1_loudest.wav,181,3.0,text_fileid_14_doa181_spk1.txt,0.11904761904761904,5,42,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious consolation. The two spent hours together sometimes in the tiny quarler, stumbling over perlengual difficulties and now and then wandering true and fro, conversationally from Priscilla to the octagon stitch and from the octagon stitch to Dennis.",0.1521740090001913,5.812901982000085,0.4788789589999851,6.443954950000261,0.008573666629116643,0.32750588664150576,0.026980616316411354,0.36306016958703374,1
15,mic_fileid_15_doa78_3spk.wav,15.6375,3,"75,317,350",0,75,0.03861897928862591,enhanced_fileid_15_pred75_idx0_loudest.wav,266,169.0,text_fileid_15_doa266_spk1.txt,1.0277777777777777,37,36,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"The road was rocky and intervals, but all into the utter darkness of the place I do not know whether I lay in them days, weeks, months, and was the most horrible experience of all my life.",0.15601042899993445,4.8078335219997825,0.39002298700006577,5.353866937999783,0.009976686107110116,0.3074553811031036,0.024941517953641298,0.342373585163855,1
16,mic_fileid_16_doa36_3spk.wav,15.665875,3,"34,156,321",0,34,0.04059852106624852,enhanced_fileid_16_pred34_idx0_loudest.wav,36,2.0,text_fileid_16_doa36_spk1.txt,0.1,4,40,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,"One hot summer day, a few months after the marriage, Juliet, returning to the consulate after a morning spent in very active exercise at the Fonitas Court, was met on the doorstep by Dora, the youngest of the Clarence Butchers.",0.20855740700017122,4.611563993999653,0.5473526620000939,5.367474062999918,0.01331284763858841,0.2943700236341508,0.03493916950059246,0.3426220407733317,1
17,mic_fileid_17_doa99_3spk.wav,16.526625,3,"13,97,163",1,97,0.0516721100000672,enhanced_fileid_17_pred97_idx1_loudest.wav,99,2.0,text_fileid_17_doa99_spk1.txt,0.0,0,51,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged to a man whom she really loved? Yes, that was it. And during all the time she kept up her old liaison. The author wanted to show that a woman can love in two ways. A man only in one. That's true enough, isn't it? Certainly.",0.1479142979999324,4.929399107000108,0.5846570869998686,5.661970491999909,0.00895006076557872,0.2982701614516036,0.03537667775482705,0.34259689997200937,1
18,mic_fileid_18_doa181_3spk.wav,15.649,3,"89,182,241",1,182,0.039514554054155875,enhanced_fileid_18_pred182_idx1_loudest.wav,181,1.0,text_fileid_18_doa181_spk1.txt,0.044444444444444446,2,45,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,And don't I hope that first picture turns out good? It was a remarkable pose if only the focus was right. He started toward the cabin door as though anxious to develop his role in film and discover what success his labor had resulted in.,0.12911737399986123,4.48952063099955,0.4455831949999265,5.064221199999338,0.008250838647828055,0.286888659403128,0.028473589047218768,0.3236130870981748,1
19,mic_fileid_19_doa121_3spk.wav,17.152125,3,"76,118,342",2,342,0.07857853852469286,enhanced_fileid_19_pred342_idx2_loudest.wav,340,2.0,text_fileid_19_doa340_spk1.txt,0.16666666666666666,7,42,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"The injuries to Dot Colbe had delayed the marches so greatly that it was decided to give up the expedition, which was arrayed upon a small, third community in retaliation for the destruction of the incubator until after the Great Canes.",0.20166989699987425,5.081300618000114,0.40661984600001233,5.6895903610000005,0.011757720807181281,0.29624904307775934,0.023706674595714076,0.3317134384806547,1
20,mic_fileid_20_doa68_3spk.wav,16.674375,3,"63,95,185",0,63,0.05003620653427538,enhanced_fileid_20_pred63_idx0_loudest.wav,68,5.0,text_fileid_20_doa68_spk1.txt,0.08823529411764706,3,34,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,"A lemon was about to approach the dead body, and had begun to look at it, when the brother, looking up at him from under his brows with calm contempt, fit something sharply and angrily.",0.15133960100001786,4.90030866799998,0.3888740009999765,5.440522269999974,0.009076178327524591,0.29388259937778655,0.023321653795118344,0.32628043150042946,1
21,mic_fileid_21_doa34_3spk.wav,17.10975,3,"34,144,354",0,34,0.06008470579843844,enhanced_fileid_21_pred34_idx0_loudest.wav,34,0.0,text_fileid_21_doa34_spk1.txt,0.08108108108108109,3,37,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,"We then went to work to make clothes after the pattern of the Necheli Eskimo, and the sewing went on early and late. Thick and rax and thin ones, heavy breeches and light, winter stockings and summer stockings.",0.1379472189998978,5.11810556599994,0.4312979549999909,5.687350739999829,0.00806249179560764,0.29913386028433736,0.025207729803181866,0.33240408188312687,1
22,mic_fileid_22_doa22_3spk.wav,16.8605,3,"20,123,347",2,347,0.05671010732012272,enhanced_fileid_22_pred347_idx2_loudest.wav,345,2.0,text_fileid_22_doa345_spk1.txt,0.15789473684210525,6,38,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,"They have merely gone to work in a business-like manner, and used their wets and common sense in educating the voters. Really, my dear, is I more proud of you today than I've ever been before, he concluded.",0.13650268799983678,4.939294939000092,0.39820611000004646,5.4740037369999754,0.008096004744808089,0.2929506799323918,0.023617692832362414,0.32466437750956234,1
23,mic_fileid_23_doa6_3spk.wav,16.07425,3,"8,89,208",2,208,0.042928731566148175,enhanced_fileid_23_pred208_idx2_loudest.wav,212,4.0,text_fileid_23_doa212_spk1.txt,0.0,0,48,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,"When his cries were heard by a farmer who was walking home from town and he was brought back to his father's house, he was so tired and excited that he did not know what was happening to him. By chance, David's father knew that he had disappeared.",0.13687699799993425,4.649476724000124,0.45257360899995547,5.2389273310000135,0.008515296079128685,0.2892499944943076,0.02815519287058217,0.32592048344401847,1
24,mic_fileid_24_doa57_3spk.wav,16.518375,3,"55,115,293",2,293,0.0781314297258323,enhanced_fileid_24_pred293_idx2_loudest.wav,289,4.0,text_fileid_24_doa289_spk1.txt,0.04878048780487805,2,41,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I had not forgotten the livid, jagged furrows and Mercer's side. Quickly as I shot to the ladder she was there before me, a dim, wavering, white shape, waiting. I paused, holding to a round of the ladder with one hand.",0.14309927600015726,4.869844676999946,0.507104973999958,5.520048927000062,0.008663035922126557,0.29481378628345384,0.030699446767612312,0.3341762689731927,1
25,mic_fileid_25_doa112_3spk.wav,14.702125,3,"113,194,345",0,113,0.05529695898590546,enhanced_fileid_25_pred113_idx0_loudest.wav,112,1.0,text_fileid_25_doa112_spk1.txt,0.05555555555555555,2,36,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,"There was the sweetness of the Mayflower and the strength of the young oak, but one could easily divine that she was one of the souls by nature pinched too high by suffering clums too low.",0.15410738400009905,4.081505340999911,0.36855675900005735,4.604169484000067,0.010481980257962644,0.2776132933844537,0.025068264553597345,0.31316353819601367,1
26,mic_fileid_26_doa34_3spk.wav,15.26275,3,"4,30,64",1,30,0.057822778969500686,enhanced_fileid_26_pred30_idx1_loudest.wav,34,4.0,text_fileid_26_doa34_spk1.txt,0.4117647058823529,14,34,THEY CAME FROM THE EAST WEST NORTH AND SOUTH ALL SORRY TO KNOW OF HER ILLNESS AND BRINGING PRESENTS WITH THEM SOMETIMES IT WAS A LITTLE LIVE BIRD OR SQUIRREL A DELICIOUS SALMON TROUT,"They come from the east, west, north and south. All story vanilla for illness and bringing presence with them. Sometimes it was a little like bird or squirrel. But there was this family tale.",0.12304675700011103,4.32012028500003,0.3719531530000495,4.8151201950001905,0.008061899526632554,0.2830499277653129,0.02436999577402824,0.3154818230659737,1
27,mic_fileid_27_doa31_3spk.wav,17.2175,3,"32,78,176",2,176,0.050546834957621946,enhanced_fileid_27_pred176_idx2_loudest.wav,173,3.0,text_fileid_27_doa173_spk1.txt,0.11428571428571428,4,35,IT SEEMS THAT THE PUBLIC ADMIRE HER AS MUCH AS I HAVE DONE I I SHALL FIND HER SOME DAY THEN SHE WILL RETURN TO ME STILL THINKING OF HER I OBSERVED REPROACHFULLY YES ALWAYS,"It seems that the public admired her as much as I have done. I shall find her someday, then she will return to me. Still thinking of her? I observed reproachfully. Yes, always.",0.14614655800005494,5.133793615999821,0.3876560569999583,5.667596230999834,0.008488256599393345,0.2981729993320645,0.022515234906342864,0.3291764908378007,1
28,mic_fileid_28_doa124_3spk.wav,16.91975,3,"208,324,356",1,324,0.02577243195982549,enhanced_fileid_28_pred324_idx1_loudest.wav,217,107.0,text_fileid_28_doa217_spk1.txt,1.3793103448275863,40,29,FELL FAR SHORT DON'T LOOK BACK GRUNTED VENTNOR STRETCH YOURSELF WALTER THERE'S A SURPRISE COMING HOPE TO GOD I JUDGED THE TIME RIGHT WE TURNED OFF THE RUINED WAY,"And the senses they felt were waking up to the realisation of what was going on. And few of the people began to look into the dickwastings in the city and were horrified at what they found. It was discovered, for example.",0.14614528299989615,5.027172219000022,0.43686997400004657,5.610187475999965,0.00863755569673879,0.2971185873904769,0.025820119919032287,0.331576263006248,1
29,mic_fileid_29_doa111_3spk.wav,16.015375,3,"2,108,148",1,108,0.0404127163598964,enhanced_fileid_29_pred108_idx1_loudest.wav,111,3.0,text_fileid_29_doa111_spk1.txt,0.05405405405405406,2,37,MY FATHER WAS AND STILL IS RECEVEUR GENERAL AT C HE HAS A GREAT REPUTATION THERE FOR LOYALTY THANKS TO WHICH HE WAS ABLE TO FIND THE SECURITY WHICH HE NEEDED IN ORDER TO ATTAIN THIS POSITION,"My father was, and still is, receiver general at sea. He has a great reputation there for loyalty, thanks to which he was able to find the security which he needed in order to attain this position.",0.13678195200009213,4.620090446000177,0.3795232490001581,5.136395647000427,0.00854066495477578,0.2884784431210744,0.023697431312108403,0.3207165393879586,1
30,mic_fileid_30_doa12_3spk.wav,16.907625,3,"9,11,53",1,11,0.04414430204877288,enhanced_fileid_30_pred11_idx1_loudest.wav,12,1.0,text_fileid_30_doa12_spk1.txt,0.38095238095238093,16,42,WHICH COVERED THEM DOWN TO THE ANKLES AND WHICH THEY WORE WINTER AND SUMMER WOMEN COMMONLY WORE A LONG LOOSE CLOAK WITH A HOOD A FASHION WHICH IS COMMON AT THE PRESENT DAY THE OVER GARMENTS WERE FASTENED BY BROOCHES PINS BUTTONS,"which travel down the angles, and which stay warm winter and summer. With it commonly wore a long, loose cloak with a hood, a fashion which is common at the prime of day. The Overgarden for Friends by Berkshine prints buttons.",0.15154002400004174,5.0327179200000955,0.46953515499990317,5.6537930990000405,0.008962821448904961,0.2976596606560706,0.027770615624601515,0.3343930977295771,1
31,mic_fileid_31_doa53_3spk.wav,17.74825,3,"51,159,215",0,51,0.02193054323177759,enhanced_fileid_31_pred51_idx0_loudest.wav,53,2.0,text_fileid_31_doa53_spk1.txt,0.2682926829268293,11,41,THIS WAS THE PORTER WHO HAD BEEN KILLED BY LE CABUC BELOW BY THE LIGHTS OF THE TORCH WHICH WAS THRUST BETWEEN THE PAVING STONES THIS HEAD COULD BE VAGUELY DISTINGUISHED NOTHING COULD BE STRANGER IN THAT SOMBRE AND UNCERTAIN GLEAM,"This was the portrait, who had been killed by Narkovuk. Below, by the legs of the torch which was thrust between the paving stones, this head could be mangled and extinguished. Nothing could be stranger but somber and uncertain blame.",0.15642988699983107,5.312553713999932,0.47553664299994125,5.944520243999705,0.008813820348475544,0.2993283120307598,0.026793438395331444,0.3349355707745668,1
32,mic_fileid_32_doa102_3spk.wav,16.7025,3,"63,87,198",1,87,0.017713037220407513,enhanced_fileid_32_pred87_idx1_loudest.wav,102,15.0,text_fileid_32_doa102_spk1.txt,1.0,35,35,LET ME BE OBSEQUIOUS IN THY HEART AND TAKE THOU MY OBLATION POOR BUT FREE WHICH IS NOT MIX'D WITH SECONDS KNOWS NO ART BUT MUTUAL RENDER ONLY ME FOR THEE HENCE THOU SUBORNED INFORMER,Saying that it was time.,0.1392780749999929,4.8531569469998885,3.62241766000011,8.614852681999992,0.00833875617422499,0.29056470270916857,0.21687877024398203,0.5157822291273756,1
33,mic_fileid_33_doa34_3spk.wav,17.067375,3,"31,129,346",2,346,0.046227411747296214,enhanced_fileid_33_pred346_idx2_loudest.wav,345,1.0,text_fileid_33_doa345_spk1.txt,0.20512820512820512,8,39,WHEN I WENT TO SLEEP LAST NIGHT I BELONGED TO GOVERNOR LUCAS BUT I UNDERSTAND DAT HE IS BIN GAMBLING ALL NIGHT SO I DON'T KNOW WHO OWNS ME DIS MORNING SUCH IS THE UNCERTAINTY OF A SLAVE'S POSITION,"Well, I went to sleep last night, I belong to Governor Lucas, but I understand that he has been gambling all night, so I don't know who owns me this morning. Such is the uncertainty of this place's position.",0.157065608000039,5.147079023999822,0.44651353300014307,5.750658165000004,0.009202681021541918,0.30157414505744573,0.026161816506647513,0.33693864258563516,1
