fileid,chunk_count,chunk_indices,chunk_mic_files,audio_start_sec,audio_end_sec,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,selected_doas,mean_selected_doa_error_deg,reference_text,hypothesis_text,wer,edit_distance,ref_words
10,4,"1,2,3,4",mic_fileid_10_doa3_3spk_1.wav|mic_fileid_10_doa3_3spk_2.wav|mic_fileid_10_doa3_3spk_3.wav|mic_fileid_10_doa3_3spk_4.wav,164.0,180.0,16.0,3,text_fileid_10_doa3_spk1.txt,"7,7,8,7",4.25,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Here he saw clients when Mr. Carlisle was out or engaged , and here he issued private orders . A low window, not larger than a pane of glass, looked out from the clerk's office. They called it Old Dills People and wished it anywhere else.",0.1111111111111111,5,45
11,4,"1,2,3,4",mic_fileid_11_doa93_3spk_1.wav|mic_fileid_11_doa93_3spk_2.wav|mic_fileid_11_doa93_3spk_3.wav|mic_fileid_11_doa93_3spk_4.wav,180.0,196.0,16.0,264,text_fileid_11_doa264_spk1.txt,"95,202,89,92",144.5,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,Rapid motion for space in Lake Flan. Some of this is not arriving. The clouds are gravel loading in front of the door. He found the jet. He had been seating by many of his friends that day in the company of these children .,1.3125,42,32
12,5,"1,2,3,4,5",mic_fileid_12_doa38_3spk_1.wav|mic_fileid_12_doa38_3spk_2.wav|mic_fileid_12_doa38_3spk_3.wav|mic_fileid_12_doa38_3spk_4.wav|mic_fileid_12_doa38_3spk_5.wav,196.0,216.0,20.0,38,text_fileid_12_doa38_spk1.txt,"37,37,37,38,179",28.8,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"Of any other batter which might have been preyed upon her husband's mind recently. Mrs. Madison, who of none, what of the coroner intimated that her ordeal was at an end, at the veiled lady made her way to the door . [BLANK_AUDIO]",0.225,9,40
13,5,"1,2,3,4,5",mic_fileid_13_doa5_3spk_1.wav|mic_fileid_13_doa5_3spk_2.wav|mic_fileid_13_doa5_3spk_3.wav|mic_fileid_13_doa5_3spk_4.wav|mic_fileid_13_doa5_3spk_5.wav,216.0,236.0,20.0,5,text_fileid_13_doa5_spk1.txt,"1,9,4,359,80",18.0,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,">> No matter how difficult , you must succeed in it or die. They did not think long, but replied, ""Let you build your majesty in one day a more beautiful palace than this ."" And he failed in the attempt .",0.10256410256410256,4,39
14,5,"1,2,3,4,5",mic_fileid_14_doa181_3spk_1.wav|mic_fileid_14_doa181_3spk_2.wav|mic_fileid_14_doa181_3spk_3.wav|mic_fileid_14_doa181_3spk_4.wav|mic_fileid_14_doa181_3spk_5.wav,236.0,256.0,20.0,181,text_fileid_14_doa181_spk1.txt,"182,184,180,184,20",33.8,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious consol ation. Let's just spend hours together sometimes in a tiny quarrel or stumbling over perlengual difficulties and now and then wandering true and fro , conversationally from Pr iscilla to the octagon stitch and from the octagon stitch to Dennis. [swoosh] [",0.35714285714285715,15,42
15,4,"1,2,3,4",mic_fileid_15_doa78_3spk_1.wav|mic_fileid_15_doa78_3spk_2.wav|mic_fileid_15_doa78_3spk_3.wav|mic_fileid_15_doa78_3spk_4.wav,256.0,272.0,16.0,266,text_fileid_15_doa266_spk1.txt,"317,84,76,81",143.5,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"swo osh] [barking] [barking] [barking] [barking] [barking] [barking] [barking] [bark ing] [barking] [barking] [barking] [barking] [barking] [barking] [barking] [barking] [barking] [b One hot summer day, a few months after the marriage, Julie",0.9722222222222222,35,36
16,4,"1,2,3,4",mic_fileid_16_doa36_3spk_1.wav|mic_fileid_16_doa36_3spk_2.wav|mic_fileid_16_doa36_3spk_3.wav|mic_fileid_16_doa36_3spk_4.wav,272.0,288.0,16.0,36,text_fileid_16_doa36_spk1.txt,"33,157,31,316",52.25,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,Pounds. Possibly the dappling of the elves . Pounds. Pounds. Pounds. Pounds.,0.95,38,40
17,4,"1,2,3,4",mic_fileid_17_doa99_3spk_1.wav|mic_fileid_17_doa99_3spk_2.wav|mic_fileid_17_doa99_3spk_3.wav|mic_fileid_17_doa99_3spk_4.wav,288.0,304.0,16.0,99,text_fileid_17_doa99_spk1.txt,"98,97,95,95",2.75,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,Pounds. Pounds. Pounds. Pounds. Pounds .,1.0,51,51
18,4,"1,2,3,4",mic_fileid_18_doa181_3spk_1.wav|mic_fileid_18_doa181_3spk_2.wav|mic_fileid_18_doa181_3spk_3.wav|mic_fileid_18_doa181_3spk_4.wav,304.0,320.0,16.0,181,text_fileid_18_doa181_spk1.txt,"178,181,181,181",0.75,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,Pounds. P ounds. Pounds. Pounds. Pounds. Pounds.,1.0,45,45
19,5,"1,2,3,4,5",mic_fileid_19_doa121_3spk_1.wav|mic_fileid_19_doa121_3spk_2.wav|mic_fileid_19_doa121_3spk_3.wav|mic_fileid_19_doa121_3spk_4.wav|mic_fileid_19_doa121_3spk_5.wav,320.0,340.0,20.0,340,text_fileid_19_doa340_spk1.txt,"343,338,341,343,27",11.2,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,Pounds. Pounds. Pounds. Pounds. Pounds. Pounds. Pounds.,1.0,42,42
20,4,"1,2,3,4",mic_fileid_20_doa68_3spk_1.wav|mic_fileid_20_doa68_3spk_2.wav|mic_fileid_20_doa68_3spk_3.wav|mic_fileid_20_doa68_3spk_4.wav,340.0,356.0,16.0,68,text_fileid_20_doa68_spk1.txt,"62,60,66,181",32.25,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,A lemon was about to approach the dead body and had begun to look at it when the brother looking up at him from under his brows with calm contempt said something sharply and angrily. (This is my head.),0.17647058823529413,6,34
21,4,"1,2,3,4",mic_fileid_21_doa34_3spk_1.wav|mic_fileid_21_doa34_3spk_2.wav|mic_fileid_21_doa34_3spk_3.wav|mic_fileid_21_doa34_3spk_4.wav,356.0,372.0,16.0,34,text_fileid_21_doa34_spk1.txt,"34,30,34,33",1.25,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,"We then went to work to make clothes after the pattern of the net shell y eskimo, and the sewing went on early and late . Thick and arachsome thin ones , heavy breeches and light, winter stockings and summer spellings .",0.16216216216216217,6,37
22,4,"1,2,3,4",mic_fileid_22_doa22_3spk_1.wav|mic_fileid_22_doa22_3spk_2.wav|mic_fileid_22_doa22_3spk_3.wav|mic_fileid_22_doa22_3spk_4.wav,372.0,388.0,16.0,345,text_fileid_22_doa345_spk1.txt,"347,346,19,20",18.0,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,"Hey, I've merely gone to work in a business-like manner and used our wets and common sense in educating the voters. Really, my dear, I want a fresh-up cease to grow and it immediately begins to decline . There being no plan for a w retch.",0.7368421052631579,28,38
23,4,"1,2,3,4",mic_fileid_23_doa6_3spk_1.wav|mic_fileid_23_doa6_3spk_2.wav|mic_fileid_23_doa6_3spk_3.wav|mic_fileid_23_doa6_3spk_4.wav,388.0,404.0,16.0,212,text_fileid_23_doa212_spk1.txt,"207,208,212,7",41.0,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,"I am crying for her and by a farmer who is walking home head on and was brought back to a farmer's house. He was so tired and excited . To get that know what's happening to him, by chance , David. The medical assistant had a good basis to start from.",0.6041666666666666,29,48
24,4,"1,2,3,4",mic_fileid_24_doa57_3spk_1.wav|mic_fileid_24_doa57_3spk_2.wav|mic_fileid_24_doa57_3spk_3.wav|mic_fileid_24_doa57_3spk_4.wav,404.0,420.0,16.0,289,text_fileid_24_doa289_spk1.txt,"292,113,114,56",120.25,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I had not forgotten the lip id, jagged furrows in Mercer 's sight, spent Jesus in all his sex, but together it was a word of the penitent he looked stopped for a second, and they went on again. Sir Rulance, I will not lie with you much longer.",0.9512195121951219,39,41
25,3,"1,2,3",mic_fileid_25_doa112_3spk_1.wav|mic_fileid_25_doa112_3spk_2.wav|mic_fileid_25_doa112_3spk_3.wav,420.0,432.0,12.0,112,text_fileid_25_doa112_spk1.txt,"112,111,112",0.3333333333333333,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,"There was the sweetness of the May flower and the strength of the young oak , but one could easily divine that she was one of the souls by nature pitch too high by suffering clunge too low .",0.1111111111111111,4,36
26,4,"1,2,3,4",mic_fileid_26_doa34_3spk_1.wav|mic_fileid_26_doa34_3spk_2.wav|mic_fileid_26_doa34_3spk_3.wav|mic_fileid_26_doa34_3spk_4.wav,432.0,448.0,16.0,34,text_fileid_26_doa34_spk1.txt,"30,33,28,40",4.25,THEY CAME FROM THE EAST WEST NORTH AND SOUTH ALL SORRY TO KNOW OF HER ILLNESS AND BRINGING PRESENTS WITH THEM SOMETIMES IT WAS A LITTLE LIVE BIRD OR SQUIRREL A DELICIOUS SALMON TROUT,"That's all fucking in there . Well, how about that song ? All sorry, but no upper illness , and bringing presents with them . Surprise, it was a little large bird or squirrel . A delicious salmon trill .",0.5,17,34
27,5,"1,2,3,4,5",mic_fileid_27_doa31_3spk_1.wav|mic_fileid_27_doa31_3spk_2.wav|mic_fileid_27_doa31_3spk_3.wav|mic_fileid_27_doa31_3spk_4.wav|mic_fileid_27_doa31_3spk_5.wav,448.0,468.0,20.0,173,text_fileid_27_doa173_spk1.txt,"176,177,179,176,8",36.2,IT SEEMS THAT THE PUBLIC ADMIRE HER AS MUCH AS I HAVE DONE I I SHALL FIND HER SOME DAY THEN SHE WILL RETURN TO ME STILL THINKING OF HER I OBSERVED REPROACHFULLY YES ALWAYS,"It seems that the public and my are her as much as I have done . I shall find her someday, then she will return to me . Still think you love her? I have served reproachfully. Yes, always . [BLANK_AUDIO]",0.34285714285714286,12,35
28,4,"1,2,3,4",mic_fileid_28_doa124_3spk_1.wav|mic_fileid_28_doa124_3spk_2.wav|mic_fileid_28_doa124_3spk_3.wav|mic_fileid_28_doa124_3spk_4.wav,468.0,484.0,16.0,217,text_fileid_28_doa217_spk1.txt,"207,213,212,134",25.5,FELL FAR SHORT DON'T LOOK BACK GRUNTED VENTNOR STRETCH YOURSELF WALTER THERE'S A SURPRISE COMING HOPE TO GOD I JUDGED THE TIME RIGHT WE TURNED OFF THE RUINED WAY,">> Structures are important, isn't it? The prior coming, hope to guide Jeff 's the time right? We turned up the room in way. [MUSIC]",0.7241379310344828,21,29
29,4,"1,2,3,4",mic_fileid_29_doa111_3spk_1.wav|mic_fileid_29_doa111_3spk_2.wav|mic_fileid_29_doa111_3spk_3.wav|mic_fileid_29_doa111_3spk_4.wav,484.0,500.0,16.0,111,text_fileid_29_doa111_spk1.txt,"106,148,112,111",10.75,MY FATHER WAS AND STILL IS RECEVEUR GENERAL AT C HE HAS A GREAT REPUTATION THERE FOR LOYALTY THANKS TO WHICH HE WAS ABLE TO FIND THE SECURITY WHICH HE NEEDED IN ORDER TO ATTAIN THIS POSITION,"My father was, but he's still in. Retriever General at sea. >> Influencing of the day reference by the unconscious . >> Thanks to which he was able to find the security, which he needed in order to attain this position.",0.35135135135135137,13,37
30,4,"1,2,3,4",mic_fileid_30_doa12_3spk_1.wav|mic_fileid_30_doa12_3spk_2.wav|mic_fileid_30_doa12_3spk_3.wav|mic_fileid_30_doa12_3spk_4.wav,500.0,516.0,16.0,12,text_fileid_30_doa12_spk1.txt,"12,10,13,12",0.75,WHICH COVERED THEM DOWN TO THE ANKLES AND WHICH THEY WORE WINTER AND SUMMER WOMEN COMMONLY WORE A LONG LOOSE CLOAK WITH A HOOD A FASHION WHICH IS COMMON AT THE PRESENT DAY THE OVER GARMENTS WERE FASTENED BY BROOCHES PINS BUTTONS,">> Which one of them does he ankle? >> Which they wore winter and summer. >> When they commonly wore a long loose cloak with a hood, a fashion would come in at the present day. The overgarments were planned by erections and buttons.",0.40476190476190477,17,42
31,5,"1,2,3,4,5",mic_fileid_31_doa53_3spk_1.wav|mic_fileid_31_doa53_3spk_2.wav|mic_fileid_31_doa53_3spk_3.wav|mic_fileid_31_doa53_3spk_4.wav|mic_fileid_31_doa53_3spk_5.wav,516.0,536.0,20.0,53,text_fileid_31_doa53_spk1.txt,"51,54,53,54,219",34.0,THIS WAS THE PORTER WHO HAD BEEN KILLED BY LE CABUC BELOW BY THE LIGHTS OF THE TORCH WHICH WAS THRUST BETWEEN THE PAVING STONES THIS HEAD COULD BE VAGUELY DISTINGUISHED NOTHING COULD BE STRANGER IN THAT SOMBRE AND UNCERTAIN GLEAM,"This was the portrait of a dead killed by a no-clav oke. Oh no, by the life of the porch which was dressed between the painting stones, this hat could be vaguely distinguished. Nothing could be stranger than the fulcrum of certain language . [BLANK_AUDIO]",0.5121951219512195,21,41
32,5,"1,2,3,4,5",mic_fileid_32_doa102_3spk_1.wav|mic_fileid_32_doa102_3spk_2.wav|mic_fileid_32_doa102_3spk_3.wav|mic_fileid_32_doa102_3spk_4.wav|mic_fileid_32_doa102_3spk_5.wav,536.0,556.0,20.0,102,text_fileid_32_doa102_spk1.txt,"78,96,216,90,74",36.8,LET ME BE OBSEQUIOUS IN THY HEART AND TAKE THOU MY OBLATION POOR BUT FREE WHICH IS NOT MIX'D WITH SECONDS KNOWS NO ART BUT MUTUAL RENDER ONLY ME FOR THEE HENCE THOU SUBORNED INFORMER,"[BLANK _AUDIO] >> One, two, three, which is not mixed in seconds . [INAUDIBLE] >> Thanks, Dr. Borne, for me. [ BLANK",0.8571428571428571,30,35
33,4,"1,2,3,4",mic_fileid_33_doa34_3spk_1.wav|mic_fileid_33_doa34_3spk_2.wav|mic_fileid_33_doa34_3spk_3.wav|mic_fileid_33_doa34_3spk_4.wav,556.0,572.0,16.0,345,text_fileid_33_doa345_spk1.txt,"348,345,344,45",16.0,WHEN I WENT TO SLEEP LAST NIGHT I BELONGED TO GOVERNOR LUCAS BUT I UNDERSTAND DAT HE IS BIN GAMBLING ALL NIGHT SO I DON'T KNOW WHO OWNS ME DIS MORNING SUCH IS THE UNCERTAINTY OF A SLAVE'S POSITION,"_AUDIO] >> Well, I went to sleep last night. I belonged to Governor Lucas , but I understand that he has been gambling all night, so I don't know who owns me this wine. Such is the uncertainty of the slave's position . [Cow mooing]",0.2564102564102564,10,39
34,4,"1,2,3,4",mic_fileid_34_doa125_3spk_1.wav|mic_fileid_34_doa125_3spk_2.wav|mic_fileid_34_doa125_3spk_3.wav|mic_fileid_34_doa125_3spk_4.wav,572.0,588.0,16.0,157,text_fileid_34_doa157_spk1.txt,"156,156,157,154",1.25,THEREFORE SELLEN HAD FALLEN ON EVIL DAYS FOR HE COULD NOT BRING HIMSELF TO PAINT AGAINST HIS BETTER JUDGMENT HE WAS NOW RENTING A FORMER PHOTOGRAPHIC STUDIO ON THE TOP OF A HOUSE IN GOVERNMENT STREET THE ACCOMMODATION CONSISTED OF THE STUDIO ITSELF,"N4-7 has fallen on evil names , for he could not bring himself to paint against his better judgment. He was now running a former photographic studio on the top of a house in Government Street . The accommodation consisted of the studio itself,",0.11627906976744186,5,43
35,5,"1,2,3,4,5",mic_fileid_35_doa24_3spk_1.wav|mic_fileid_35_doa24_3spk_2.wav|mic_fileid_35_doa24_3spk_3.wav|mic_fileid_35_doa24_3spk_4.wav|mic_fileid_35_doa24_3spk_5.wav,588.0,608.0,20.0,24,text_fileid_35_doa24_spk1.txt,"21,22,18,25,26",2.8,THE WESTERN WORLD IS WARNED IF NOT ARMED AGAINST THE POSSIBILITY OF IT IN THE SECOND PLACE THERE IS A WEAKNESS INHERENT IN THE BROWN MAN WHICH WILL BRING HIS ADVENTURE TO NAUGHT FROM THE WEST HE HAS BORROWED ALL OUR MATERIAL ACHIEVEMENT AND PASSED OUR ETHICAL ACHIEVEMENT BY,the Western World is warned if not armed against the plausibility of it. In the second place there is a weakness inherent in the brown man which will bring his adventures to naught. From the west he has borrowed all our material achievement and passed our ethical achievement by. [end],0.061224489795918366,3,49
