fileid,chunk_count,chunk_indices,chunk_mic_files,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,selected_doas,mean_selected_doa_error_deg
10,4,"1,2,3,4",mic_fileid_10_doa3_3spk_1.wav|mic_fileid_10_doa3_3spk_2.wav|mic_fileid_10_doa3_3spk_3.wav|mic_fileid_10_doa3_3spk_4.wav,16.0,3,text_fileid_10_doa3_spk1.txt,0.5111111111111111,23,45,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Here he saw clients when Mr. Carlisle was out or engaged in... Here he issued private orders. Hello, window. Not large. I'm sorry, I didn't mean to do that. I paid a glass. Look out from the clerk's office. They call it old... those people and wish it anywhere else.","7,7,8,7",4.25
11,4,"1,2,3,4",mic_fileid_11_doa93_3spk_1.wav|mic_fileid_11_doa93_3spk_2.wav|mic_fileid_11_doa93_3spk_3.wav|mic_fileid_11_doa93_3spk_4.wav,16.0,264,text_fileid_11_doa264_spk1.txt,1.09375,35,32,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Rapid motion through space, you'll influence. So does no derived. freezing out all the 비 captive way after the He had been seeking by bidding on his friends that day. accompanying at least 100 nipples.","95,202,89,92",144.5
12,5,"1,2,3,4,5",mic_fileid_12_doa38_3spk_1.wav|mic_fileid_12_doa38_3spk_2.wav|mic_fileid_12_doa38_3spk_3.wav|mic_fileid_12_doa38_3spk_4.wav|mic_fileid_12_doa38_3spk_5.wav,20.0,38,text_fileid_12_doa38_spk1.txt,0.275,11,40,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"of any other matter which might have been preyed upon our husbands. like recently. What if the coroner intimated that her ordeal was at an end, and the veiled lady made her way to the door. Thank you.","37,37,37,38,3",7.6
13,5,"1,2,3,4,5",mic_fileid_13_doa5_3spk_1.wav|mic_fileid_13_doa5_3spk_2.wav|mic_fileid_13_doa5_3spk_3.wav|mic_fileid_13_doa5_3spk_4.wav|mic_fileid_13_doa5_3spk_5.wav,20.0,5,text_fileid_13_doa5_spk1.txt,0.2564102564102564,10,39,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,"No matter how difficult, you must succeed in it or die. They did not think long, but reply Let you build your majesty in one day, a warm beautiful palace at this. And if you failed, you'll miss it.","1,9,4,359,80",18.0
14,5,"1,2,3,4,5",mic_fileid_14_doa181_3spk_1.wav|mic_fileid_14_doa181_3spk_2.wav|mic_fileid_14_doa181_3spk_3.wav|mic_fileid_14_doa181_3spk_4.wav|mic_fileid_14_doa181_3spk_5.wav,20.0,181,text_fileid_14_doa181_spk1.txt,0.38095238095238093,16,42,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious consolation. Let's go spend hours together some- the tiny parlor, stumbling over perliteable difficulties and now and then wandering through and from conversationally from Priscilla to the out to non stitch and from the out to non stitch to Dennis.","182,184,180,184,20",33.8
15,4,"1,2,3,4",mic_fileid_15_doa78_3spk_1.wav|mic_fileid_15_doa78_3spk_2.wav|mic_fileid_15_doa78_3spk_3.wav|mic_fileid_15_doa78_3spk_4.wav,16.0,266,text_fileid_15_doa266_spk1.txt,0.8888888888888888,32,36,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"Besides, like you and Peter escaped. Thanks, Fred. Thanks. Thanks. Thanks. Thanks. What was the most horrible experience of all time? ம bloom.","317,84,76,81",143.5
16,4,"1,2,3,4",mic_fileid_16_doa36_3spk_1.wav|mic_fileid_16_doa36_3spk_2.wav|mic_fileid_16_doa36_3spk_3.wav|mic_fileid_16_doa36_3spk_4.wav,16.0,36,text_fileid_16_doa36_spk1.txt,0.675,27,40,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,a few months after the marriage. possibly the datling of the elves exercise for the metascore was met on the darsen at Bighton. The,"33,157,31,316",52.25
17,4,"1,2,3,4",mic_fileid_17_doa99_3spk_1.wav|mic_fileid_17_doa99_3spk_2.wav|mic_fileid_17_doa99_3spk_3.wav|mic_fileid_17_doa99_3spk_4.wav,16.0,99,text_fileid_17_doa99_spk1.txt,0.37254901960784315,19,51,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged or mad? Hope she really loved. Yes, thank you. And every one of the times she kept up her old layers up. I wanted to show that a woman can love into a lake. A man only in wet. That's strong enough, isn't it? Certainly.","98,97,95,95",2.75
18,4,"1,2,3,4",mic_fileid_18_doa181_3spk_1.wav|mic_fileid_18_doa181_3spk_2.wav|mic_fileid_18_doa181_3spk_3.wav|mic_fileid_18_doa181_3spk_4.wav,16.0,181,text_fileid_18_doa181_spk1.txt,0.37777777777777777,17,45,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,And definitely I hope that first picture turns out good. It was a r- If only the focus was right. Start it toward the cabin door as though anxious to develop its roll-up filament. Discover what success is like around the result of that.,"178,181,181,181",0.75
19,5,"1,2,3,4,5",mic_fileid_19_doa121_3spk_1.wav|mic_fileid_19_doa121_3spk_2.wav|mic_fileid_19_doa121_3spk_3.wav|mic_fileid_19_doa121_3spk_4.wav|mic_fileid_19_doa121_3spk_5.wav,20.0,340,text_fileid_19_doa340_spk1.txt,0.2857142857142857,12,42,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"The injuries to that call they had to lay the marches upright late. that it was decided to give up the expedition, which was a raid upon... small, third community in retaliation for the destruction of... incubator until after the Great Canes.","343,338,341,343,27",11.2
20,4,"1,2,3,4",mic_fileid_20_doa68_3spk_1.wav|mic_fileid_20_doa68_3spk_2.wav|mic_fileid_20_doa68_3spk_3.wav|mic_fileid_20_doa68_3spk_4.wav,16.0,68,text_fileid_20_doa68_spk1.txt,0.29411764705882354,10,34,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,"And then it was about to approach the dead body and had begun to look at it when the brother looking up at him from under his breath. with calm contempt. Sit something sharply and angrily. Please, what should I do?","62,60,66,181",32.25
21,4,"1,2,3,4",mic_fileid_21_doa34_3spk_1.wav|mic_fileid_21_doa34_3spk_2.wav|mic_fileid_21_doa34_3spk_3.wav|mic_fileid_21_doa34_3spk_4.wav,16.0,34,text_fileid_21_doa34_spk1.txt,0.32432432432432434,12,37,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,"We then went to work to make clothes after the pattern of the net shelly S- And the sewing went on early and late. Thick and... Interact some thin ones, heavy breeches and light, winter stocking. Choose that separate spell kings.","34,30,34,33",1.25
22,4,"1,2,3,4",mic_fileid_22_doa22_3spk_1.wav|mic_fileid_22_doa22_3spk_2.wav|mic_fileid_22_doa22_3spk_3.wav|mic_fileid_22_doa22_3spk_4.wav,16.0,345,text_fileid_22_doa345_spk1.txt,0.7105263157894737,27,38,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,"And merely go to work in a business-like manner and use their wh- and common sense in educating the voters. Really, my dear... when the fresh air persists to grow and it nearly begins to decline. Or go to Kepler's for free...","347,346,19,20",18.0
23,4,"1,2,3,4",mic_fileid_23_doa6_3spk_1.wav|mic_fileid_23_doa6_3spk_2.wav|mic_fileid_23_doa6_3spk_3.wav|mic_fileid_23_doa6_3spk_4.wav,16.0,212,text_fileid_23_doa212_spk1.txt,0.5833333333333334,28,48,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,"What is cry-suffer by a farmer who's walking home from hell and... was brought back to his father's house. He was so tired and excited. Can you get that, you know, what's happening to me? By chance, David. The medical assistant has a good basis to start from.","207,208,212,7",41.0
24,4,"1,2,3,4",mic_fileid_24_doa57_3spk_1.wav|mic_fileid_24_doa57_3spk_2.wav|mic_fileid_24_doa57_3spk_3.wav|mic_fileid_24_doa57_3spk_4.wav,16.0,289,text_fileid_24_doa289_spk1.txt,0.8292682926829268,34,41,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I had not forgotten the Libit jacket furrows in Mercer's side. spent Jesus in all his saints but again, it was a where the Pagnetic Needles stopped for a second and they went on again. So realize, I will not run with you much longer.","292,113,114,56",120.25
25,3,"1,2,3",mic_fileid_25_doa112_3spk_1.wav|mic_fileid_25_doa112_3spk_2.wav|mic_fileid_25_doa112_3spk_3.wav,12.0,112,text_fileid_25_doa112_spk1.txt,0.1388888888888889,5,36,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,There was the sweetness of the Mayflower and the strength of the young oak. could easily define that she was one of the souls by nature pitch too high. by suffering clench too low.,"112,111,112",0.3333333333333333
26,4,"1,2,3,4",mic_fileid_26_doa34_3spk_1.wav|mic_fileid_26_doa34_3spk_2.wav|mic_fileid_26_doa34_3spk_3.wav|mic_fileid_26_doa34_3spk_4.wav,16.0,34,text_fileid_26_doa34_spk1.txt,0.4117647058823529,14,34,THEY CAME FROM THE EAST WEST NORTH AND SOUTH ALL SORRY TO KNOW OF HER ILLNESS AND BRINGING PRESENTS WITH THEM SOMETIMES IT WAS A LITTLE LIVE BIRD OR SQUIRREL A DELICIOUS SALMON TROUT,"That's all for today. Well, have a good day. All sorry to Nova for illness and bringing presents with them. Surprise! It was a little red bird or squirrel. a delicious salmon trout.","30,33,28,40",4.25
27,5,"1,2,3,4,5",mic_fileid_27_doa31_3spk_1.wav|mic_fileid_27_doa31_3spk_2.wav|mic_fileid_27_doa31_3spk_3.wav|mic_fileid_27_doa31_3spk_4.wav|mic_fileid_27_doa31_3spk_5.wav,20.0,173,text_fileid_27_doa173_spk1.txt,0.3142857142857143,11,35,IT SEEMS THAT THE PUBLIC ADMIRE HER AS MUCH AS I HAVE DONE I I SHALL FIND HER SOME DAY THEN SHE WILL RETURN TO ME STILL THINKING OF HER I OBSERVED REPROACHFULLY YES ALWAYS,"It seems that the public admire her as much as I have done. I shall find her someday, then she will return to me. Still thank you, not her? I accept. approach fully. Yes, always. Thank you.","176,177,179,176,8",36.2
28,4,"1,2,3,4",mic_fileid_28_doa124_3spk_1.wav|mic_fileid_28_doa124_3spk_2.wav|mic_fileid_28_doa124_3spk_3.wav|mic_fileid_28_doa124_3spk_4.wav,16.0,217,text_fileid_28_doa217_spk1.txt,0.6896551724137931,20,29,FELL FAR SHORT DON'T LOOK BACK GRUNTED VENTNOR STRETCH YOURSELF WALTER THERE'S A SURPRISE COMING HOPE TO GOD I JUDGED THE TIME RIGHT WE TURNED OFF THE RUINED WAY,"Stretch yourself, Walter. Visit the prior coming. Hope you can adjust the timer. We turned up the room in way.","207,213,212,134",25.5
29,4,"1,2,3,4",mic_fileid_29_doa111_3spk_1.wav|mic_fileid_29_doa111_3spk_2.wav|mic_fileid_29_doa111_3spk_3.wav|mic_fileid_29_doa111_3spk_4.wav,16.0,111,text_fileid_29_doa111_spk1.txt,0.40540540540540543,15,37,MY FATHER WAS AND STILL IS RECEVEUR GENERAL AT C HE HAS A GREAT REPUTATION THERE FOR LOYALTY THANKS TO WHICH HE WAS ABLE TO FIND THE SECURITY WHICH HE NEEDED IN ORDER TO ATTAIN THIS POSITION,"My father was, and still is, receiver general at sea. influencing of the day reference by the unconsciousness as a thanks to which she was able to find the security which needed in order to this position.","106,148,112,111",10.75
30,4,"1,2,3,4",mic_fileid_30_doa12_3spk_1.wav|mic_fileid_30_doa12_3spk_2.wav|mic_fileid_30_doa12_3spk_3.wav|mic_fileid_30_doa12_3spk_4.wav,16.0,12,text_fileid_30_doa12_spk1.txt,0.5952380952380952,25,42,WHICH COVERED THEM DOWN TO THE ANKLES AND WHICH THEY WORE WINTER AND SUMMER WOMEN COMMONLY WORE A LONG LOOSE CLOAK WITH A HOOD A FASHION WHICH IS COMMON AT THE PRESENT DAY THE OVER GARMENTS WERE FASTENED BY BROOCHES PINS BUTTONS,We've shrugged them down to the ankles and we've stayed warm winter and sun... when they come they wore a long loose cloak a fashion would you come in at the present day and by proxies prince buns,"12,10,13,12",0.75
31,5,"1,2,3,4,5",mic_fileid_31_doa53_3spk_1.wav|mic_fileid_31_doa53_3spk_2.wav|mic_fileid_31_doa53_3spk_3.wav|mic_fileid_31_doa53_3spk_4.wav|mic_fileid_31_doa53_3spk_5.wav,20.0,53,text_fileid_31_doa53_spk1.txt,0.4634146341463415,19,41,THIS WAS THE PORTER WHO HAD BEEN KILLED BY LE CABUC BELOW BY THE LIGHTS OF THE TORCH WHICH WAS THRUST BETWEEN THE PAVING STONES THIS HEAD COULD BE VAGUELY DISTINGUISHED NOTHING COULD BE STRANGER IN THAT SOMBRE AND UNCERTAIN GLEAM,"This was the portrait, which I've been killed by a N'Khavuk. below by the life of the torch which was dressed between the pink... stones this head could be very much distinguished. They could be strangers that's called a certain name. Thank you.","51,54,53,54,219",34.0
32,5,"1,2,3,4,5",mic_fileid_32_doa102_3spk_1.wav|mic_fileid_32_doa102_3spk_2.wav|mic_fileid_32_doa102_3spk_3.wav|mic_fileid_32_doa102_3spk_4.wav|mic_fileid_32_doa102_3spk_5.wav,20.0,102,text_fileid_32_doa102_spk1.txt,0.9142857142857143,32,35,LET ME BE OBSEQUIOUS IN THY HEART AND TAKE THOU MY OBLATION POOR BUT FREE WHICH IS NOT MIX'D WITH SECONDS KNOWS NO ART BUT MUTUAL RENDER ONLY ME FOR THEE HENCE THOU SUBORNED INFORMER,"3 which is not mixed in seconds. �로 ح Of now that now that was that I'm Points for X dumbbells, Warm","78,96,216,90,74",36.8
33,4,"1,2,3,4",mic_fileid_33_doa34_3spk_1.wav|mic_fileid_33_doa34_3spk_2.wav|mic_fileid_33_doa34_3spk_3.wav|mic_fileid_33_doa34_3spk_4.wav,16.0,345,text_fileid_33_doa345_spk1.txt,0.28205128205128205,11,39,WHEN I WENT TO SLEEP LAST NIGHT I BELONGED TO GOVERNOR LUCAS BUT I UNDERSTAND DAT HE IS BIN GAMBLING ALL NIGHT SO I DON'T KNOW WHO OWNS ME DIS MORNING SUCH IS THE UNCERTAINTY OF A SLAVE'S POSITION,"Well, I went to sleep last night. I belong to Governor Lucas. I understand that he has been gambling all night, so I don't know who wants me to swore. such as the uncertainty of the slave's position.","348,345,344,45",16.0
34,4,"1,2,3,4",mic_fileid_34_doa125_3spk_1.wav|mic_fileid_34_doa125_3spk_2.wav|mic_fileid_34_doa125_3spk_3.wav|mic_fileid_34_doa125_3spk_4.wav,16.0,157,text_fileid_34_doa157_spk1.txt,0.3488372093023256,15,43,THEREFORE SELLEN HAD FALLEN ON EVIL DAYS FOR HE COULD NOT BRING HIMSELF TO PAINT AGAINST HIS BETTER JUDGMENT HE WAS NOW RENTING A FORMER PHOTOGRAPHIC STUDIO ON THE TOP OF A HOUSE IN GOVERNMENT STREET THE ACCOMMODATION CONSISTED OF THE STUDIO ITSELF,ез bring himself to paint against his better judgment. He was now running a form... photographic studio on the top of the house in Government Street. The accommodation consists of the studio itself.,"156,156,157,154",1.25
35,5,"1,2,3,4,5",mic_fileid_35_doa24_3spk_1.wav|mic_fileid_35_doa24_3spk_2.wav|mic_fileid_35_doa24_3spk_3.wav|mic_fileid_35_doa24_3spk_4.wav|mic_fileid_35_doa24_3spk_5.wav,20.0,24,text_fileid_35_doa24_spk1.txt,0.30612244897959184,15,49,THE WESTERN WORLD IS WARNED IF NOT ARMED AGAINST THE POSSIBILITY OF IT IN THE SECOND PLACE THERE IS A WEAKNESS INHERENT IN THE BROWN MAN WHICH WILL BRING HIS ADVENTURE TO NAUGHT FROM THE WEST HE HAS BORROWED ALL OUR MATERIAL ACHIEVEMENT AND PASSED OUR ETHICAL ACHIEVEMENT BY,"The western world is warned, if not armed, against the possible. In the second place, there is a weakness in having a child. in the Brown man which will bring you the message and all. He has borrowed all our material achievement and passed our ethical achievement.","21,22,18,25,26",2.8
36,4,"1,2,3,4",mic_fileid_36_doa24_3spk_1.wav|mic_fileid_36_doa24_3spk_2.wav|mic_fileid_36_doa24_3spk_3.wav|mic_fileid_36_doa24_3spk_4.wav,16.0,269,text_fileid_36_doa269_spk1.txt,1.3333333333333333,44,33,THE BRIDGE OPENED ON A RATHER FINE STREET CALLED SAINT THOMAS'S STREET HE ENTERED IT HERE AND THERE WERE HIGH CARVED GABLES AND SHOP FRONTS HE SET TO KNOCKING AT THE DOORS AGAIN,"He imagined that she was too young and inexperienced to care for her children. But that was a mistake for the truth was that another I feel like that was indestructible in this method. It was the rule. When lads joined her fathers, had one","21,21,200,26",102.5
37,4,"1,2,3,4",mic_fileid_37_doa51_3spk_1.wav|mic_fileid_37_doa51_3spk_2.wav|mic_fileid_37_doa51_3spk_3.wav|mic_fileid_37_doa51_3spk_4.wav,16.0,104,text_fileid_37_doa104_spk1.txt,0.1935483870967742,6,31,AND THERE WAS MUCH COMMENT ON THIS EVIDENCE OF A DECLINING INDUSTRY IT WAS NOT AT ONCE RECOGNIZED THAT THERE WAS EMBODIED IN HORSE FLESH MORE HORSE POWER THAN EVER BEFORE,"And there was much comment on this evidence of a declining industry. It was not at once recognized that there was It might have horse flesh, more horsepower, than ever before. for.","100,103,102,102",2.25
