fileid,chunk_index,mic_file,duration_sec,input_channels,input_audio_mode,audio_start_sec,audio_end_sec,gt_dominant_spk1_doa,stream_paced_send_sec,chunk_audio_sec,stream_audio_end_sec,pipeline_wall_sec,pipeline_lag_sec,realtime_tolerance_sec,realtime_ok,cumulative_rtf,stream_paced_send_rtf,received_during_send_count,received_during_send_text,timestamp_assigned_count,timestamp_assigned_text,previous_chunk_transcript_text,timestamp_assigned_start_sec,timestamp_assigned_end_sec
2,3,mic_fileid_2_doa36_3spk_3.wav,4.0,4,mean_all_channels,40.0,44.0,36,3.98180187700018,4.0,44.0,44.002176497000164,0.0021764970001640904,0.5,1,1.000049465840913,0.995450469250045,2,", and while her hands mechanically found and did their accustomed labor.",2,found and did their accustomed labor. The thoughts that rose in her head,"in the mountains, although hard-working , and while her hands mechanically",40.08,43.699999999999996
2,4,mic_fileid_2_doa36_3spk_4.wav,4.0,4,mean_all_channels,44.0,48.0,36,3.9785074729998087,4.0,48.0,48.00107766200017,0.001077662000170676,0.5,1,1.0000224512916702,0.9946268682499522,2,The thoughts that rose in her head from recent years on Charlie Crannell,2,"from recent years on Charlie Crannell , his ways, his",found and did their accustomed labor. The thoughts that rose in her head,43.92,47.739999999999995
2,5,mic_fileid_2_doa36_3spk_5.wav,4.0,4,mean_all_channels,48.0,52.0,36,3.98066709800014,4.0,52.0,52.00044258700018,0.0004425870001796284,0.5,1,1.000008511288465,0.995166774500035,2,", his ways, his words.",1,words.,"from recent years on Charlie Crannell , his ways, his",47.9,48.519999999999996
3,1,mic_fileid_3_doa39_3spk_1.wav,4.0,4,mean_all_channels,52.0,56.0,39,3.9783561129997906,4.0,56.0,56.00013402700006,0.00013402700005826773,0.5,1,1.0000023933392868,0.9945890282499477,1,Which takes over the traditional studio,2,Which takes over the traditional studio consciousness type of thing.,,52.26,55.66
3,2,mic_fileid_3_doa39_3spk_2.wav,4.0,4,mean_all_channels,56.0,60.0,39,3.9791857150003125,4.0,60.0,60.00015727900018,0.0001572790001773683,0.5,1,1.0000026213166697,0.9947964287500781,2,consciousness type of thing. It is implied that the process may,2,It is implied that the process may be out of this.,Which takes over the traditional studio consciousness type of thing.,56.18,58.66
3,3,mic_fileid_3_doa39_3spk_3.wav,4.0,4,mean_all_channels,60.0,64.0,39,3.978169165000054,4.0,64.0,64.00014881400011,0.0001488140001129068,0.5,1,1.0000023252187518,0.9945422912500135,2,be out of this. I'm,2,I'm not sure if,It is implied that the process may be out of this.,60.72,63.6
3,4,mic_fileid_3_doa39_3spk_4.wav,4.0,4,mean_all_channels,64.0,68.0,39,3.9805211530001543,4.0,68.0,68.00016672900028,0.0001667290002842492,0.5,1,1.000002451897063,0.9951302882500386,2,not sure if it's a suicide or a suicide.,1,it's a suicide or a suicide.,I'm not sure if,63.601,64.72
4,1,mic_fileid_4_doa26_3spk_1.wav,4.0,4,mean_all_channels,68.0,72.0,26,3.9817963469999995,4.0,72.0,72.00017048400014,0.00017048400013663922,0.5,1,1.0000023678333352,0.9954490867499999,1,The publication is,2,The publication is made at all should be affected as soon,,68.64,71.86
4,2,mic_fileid_4_doa26_3spk_2.wav,4.0,4,mean_all_channels,72.0,76.0,26,3.980518421999932,4.0,76.0,76.0020781940002,0.002078194000205258,0.5,1,1.0000273446578973,0.995129605499983,2,made at all should be affected as soon as possible after my death,2,as possible after my death . My father died on the,The publication is made at all should be affected as soon,72.26,75.86
4,3,mic_fileid_4_doa26_3spk_3.wav,4.0,4,mean_all_channels,76.0,80.0,26,3.9557382080001844,4.0,80.0,80.00105198300025,0.0010519830002522212,0.5,1,1.000013149787503,0.9889345520000461,2,. My father died on the 6th of December 1882,2,"6th of December 1882 , singular.",as possible after my death . My father died on the,76.12,78.98
4,4,mic_fileid_4_doa26_3spk_4.wav,4.0,4,mean_all_channels,80.0,84.0,26,3.978250883000328,4.0,84.0,84.00029498999993,0.0002949899999293848,0.5,1,1.0000035117857133,0.994562720750082,2,", singular. It will be seen therefore",2,It will be seen therefore .,"6th of December 1882 , singular.",80.0,81.34100000000001
5,1,mic_fileid_5_doa60_3spk_1.wav,4.0,4,mean_all_channels,84.0,88.0,338,3.9811805299996195,4.0,88.0,88.00016889900007,0.0001688990000729973,0.5,1,1.000001919306819,0.9952951324999049,2,. >> [INAUDIBLE,2,>> [INAUDIBLE ],,84.52000000000001,86.001
5,2,mic_fileid_5_doa60_3spk_2.wav,4.0,4,mean_all_channels,88.0,92.0,338,3.9805474039999353,4.0,92.0,92.00014352400012,0.00014352400012285216,0.5,1,1.0000015600434795,0.9951368509999838,2,"] When one has the honor of being an expert as master is, one",3,"When one has the honor of being an expert as master is, one must let himself open to .",>> [INAUDIBLE ],86.98,91.38100000000001
5,3,mic_fileid_5_doa60_3spk_3.wav,4.0,4,mean_all_channels,92.0,96.0,338,3.958703339999829,4.0,96.0,96.00013376600009,0.0001337660000899632,0.5,1,1.0000013933958343,0.9896758349999573,2,must let himself open to .,1,And then the,"When one has the honor of being an expert as master is, one must let himself open to .",95.02000000000001,95.42
5,4,mic_fileid_5_doa60_3spk_4.wav,4.0,4,mean_all_channels,96.0,100.0,338,3.981313015000069,4.0,100.0,100.00011653199999,0.00011653199999273056,0.5,1,1.0000011653199998,0.9953282537500172,2,And then the midst of the general silence of voice came audible,2,midst of the general silence of voice came audible .,And then the,95.68,98.12100000000001
6,1,mic_fileid_6_doa30_3spk_1.wav,4.0,4,mean_all_channels,100.0,104.0,140,3.980822492000243,4.0,104.0,104.00012279400016,0.00012279400016268482,0.5,1,1.00000118071154,0.9952056230000608,1,.,1,He built a house and under his boss he bought a code.,,100.48,103.76
6,2,mic_fileid_6_doa30_3spk_2.wav,4.0,4,mean_all_channels,104.0,108.0,140,3.9843155869998554,4.0,108.0,108.00204152800006,0.0020415280000634084,0.5,1,1.0000189030370377,0.9960788967499639,2,He built a house and under his boss he bought a code. He needs to turn to literature,2,He needs to turn to literature and to materials.,He built a house and under his boss he bought a code.,104.68,107.72
6,3,mic_fileid_6_doa30_3spk_3.wav,4.0,4,mean_all_channels,108.0,112.0,140,3.980101348000062,4.0,112.0,112.00102292500014,0.0010229250001430046,0.5,1,1.0000091332589298,0.9950253370000155,2,and to materials. There were certain names which are often pronounced,2,There were certain names which are often pronounced to support whatever things that might,He needs to turn to literature and to materials.,108.24000000000001,111.86
6,4,mic_fileid_6_doa30_3spk_4.wav,4.0,4,mean_all_channels,112.0,116.0,140,3.9806797989999723,4.0,116.0,116.00038168800029,0.00038168800028870464,0.5,1,1.0000032904137957,0.9951699497499931,2,to support whatever things that might be seen. Voltaire,2,be seen. Voltaire .,There were certain names which are often pronounced to support whatever things that might,112.02000000000001,115.001
7,1,mic_fileid_7_doa57_3spk_1.wav,4.0,4,mean_all_channels,116.0,120.0,57,3.9822383069999887,4.0,120.0,120.00012828700028,0.00012828700027966988,0.5,1,1.0000010690583356,0.9955595767499972,1,.,1,[inaudible],,116.60000000000001,119.58000000000001
7,2,mic_fileid_7_doa57_3spk_2.wav,4.0,4,mean_all_channels,120.0,124.0,57,3.9812636740002745,4.0,124.0,124.00016017100006,0.00016017100006138207,0.5,1,1.0000012917016134,0.9953159185000686,2,[inaudible] [,2,[ Indistinct chatter,[inaudible],121.32000000000001,123.86
7,3,mic_fileid_7_doa57_3spk_3.wav,4.0,4,mean_all_channels,124.0,128.0,57,3.979378257999997,4.0,128.0,128.00015346400005,0.0001534640000500076,0.5,1,1.0000011989375004,0.9948445644999993,2,Indistinct chatter .,2,. Keep your arm out with,[ Indistinct chatter,125.44000000000001,125.44300000000003
8,1,mic_fileid_8_doa80_3spk_1.wav,4.0,4,mean_all_channels,128.0,132.0,333,3.9799936250001338,4.0,132.0,132.0001587490001,0.00015874900009293924,0.5,1,1.00000120264394,0.9949984062500334,1,Keep your arm out with,1,"I wanted to learn the game. At two o'clock, the captain",,128.58,131.66
8,2,mic_fileid_8_doa80_3spk_2.wav,4.0,4,mean_all_channels,132.0,136.0,333,3.9786730380001245,4.0,136.0,136.00014671600002,0.0001467160000174772,0.5,1,1.0000010787941178,0.9946682595000311,2,"I wanted to learn the game. At two o'clock, the captain asked the mate how to work his teeth on.",2,"asked the mate how to work his teeth on. Oh, pre-glinged term","I wanted to learn the game. At two o'clock, the captain",131.96,135.78
8,3,mic_fileid_8_doa80_3spk_3.wav,4.0,4,mean_all_channels,136.0,140.0,333,3.983097748000091,4.0,140.0,140.0020485250002,0.002048525000191148,0.5,1,1.0000146323214298,0.9957744370000228,2,"Oh, pre-glinged term , by the name of ""Chicken Scar",2,", by the name of ""Chicken Scar cey"" tell what headway we are making, for","asked the mate how to work his teeth on. Oh, pre-glinged term",136.14000000000001,139.8
8,4,mic_fileid_8_doa80_3spk_4.wav,4.0,4,mean_all_channels,140.0,144.0,333,3.979174642000089,4.0,144.0,144.001038031,0.0010380310000073223,0.5,1,1.0000072085486111,0.9947936605000223,2,"cey"" tell what headway we are making, for we are alive to keep the middle of the river,",2,"we are alive to keep the middle of the river, and there is the shadow of a fall rising",", by the name of ""Chicken Scar cey"" tell what headway we are making, for",140.02,143.46
8,5,mic_fileid_8_doa80_3spk_5.wav,4.0,4,mean_all_channels,144.0,148.0,333,3.9796946080000453,4.0,148.0,148.00044690799996,0.0004469079999580572,0.5,1,1.0000030196486485,0.9949236520000113,2,and there is the shadow of a fall rising .,2,. The,"we are alive to keep the middle of the river, and there is the shadow of a fall rising",144.12,147.341
9,1,mic_fileid_9_doa85_3spk_1.wav,4.0,4,mean_all_channels,148.0,152.0,314,3.9805485700003373,4.0,152.0,152.0001205409999,0.00012054099988745293,0.5,1,1.000000793032894,0.9951371425000843,2,The Dutch has no sign of the Netherlands.,2,Dutch has no sign of the Netherlands. So you invited to invite us to the Netherlands,,148.4,151.68
9,2,mic_fileid_9_doa85_3spk_2.wav,4.0,4,mean_all_channels,152.0,156.0,314,3.981788298999618,4.0,156.0,156.00012474300001,0.00012474300001485972,0.5,1,1.0000007996346154,0.9954470747499045,2,So you invited to invite us to the Netherlands ?,2,? Yes.,Dutch has no sign of the Netherlands. So you invited to invite us to the Netherlands,152.06,155.38
9,3,mic_fileid_9_doa85_3spk_3.wav,4.0,4,mean_all_channels,156.0,160.0,314,3.980025326000032,4.0,160.0,160.00015086300027,0.00015086300027178368,0.5,1,1.0000009428937517,0.995006331500008,2,"Yes. Tell me. It was a strange way out of that. Well, I",2,"Tell me. It was a strange way out of that. Well, I killed my people.",? Yes.,155.381,159.1
9,4,mic_fileid_9_doa85_3spk_4.wav,4.0,4,mean_all_channels,160.0,164.0,314,3.9821530670001266,4.0,164.0,164.00015192599994,0.0001519259999440692,0.5,1,1.0000009263780485,0.9955382667500317,2,killed my people. The she was beside herself with a moment of fear and thought,2,The she was beside herself with a moment of fear and thought .,"Tell me. It was a strange way out of that. Well, I killed my people.",159.24,161.881
10,1,mic_fileid_10_doa3_3spk_1.wav,4.0,4,mean_all_channels,164.0,168.0,3,3.976306353000382,4.0,168.0,168.00013289800017,0.00013289800017446396,0.5,1,1.0000007910595248,0.9940765882500955,2,. Here he saw clients with Mr,2,"Here he saw clients with Mr . Carlile's house, where he lived, and",,164.6,167.86
10,2,mic_fileid_10_doa3_3spk_2.wav,4.0,4,mean_all_channels,168.0,172.0,3,3.983113294999839,4.0,172.0,172.0001419160003,0.00014191600030244444,0.5,1,1.000000825093025,0.9957783237499598,2,". Carlile's house, where he lived, and here he issued private orders.",2,"here he issued private orders. It's a little window, not larger","Here he saw clients with Mr . Carlile's house, where he lived, and",168.0,171.78
10,3,mic_fileid_10_doa3_3spk_3.wav,4.0,4,mean_all_channels,172.0,176.0,3,3.9838553800000227,4.0,176.0,176.00124795500005,0.00124795500005348,0.5,1,1.0000070906534093,0.9959638450000057,2,"It's a little window, not larger than a pane of glass. Looked out for",2,than a pane of glass. Looked out for a place on this. They call it Old,"here he issued private orders. It's a little window, not larger",172.1,175.70000000000002
10,4,mic_fileid_10_doa3_3spk_4.wav,4.0,4,mean_all_channels,176.0,180.0,3,3.9794223979997696,4.0,180.0,180.0005663930001,0.0005663930000991968,0.5,1,1.0000031466277783,0.9948555994999424,2,a place on this. They call it Old Dills People and wished it anywhere,2,Dills People and wished it anywhere else.,than a pane of glass. Looked out for a place on this. They call it Old,176.20000000000002,178.68
11,1,mic_fileid_11_doa93_3spk_1.wav,4.0,4,mean_all_channels,180.0,184.0,264,3.979709461999846,4.0,184.0,184.00012964300004,0.00012964300003659446,0.5,1,1.000000704581522,0.9949273654999615,2,else. Seed's rep.,2,Seed's rep. on the home space is through and when he delivers to the cell,,180.44,183.70000000000002
11,2,mic_fileid_11_doa93_3spk_2.wav,4.0,4,mean_all_channels,184.0,188.0,264,3.9793827850003254,4.0,188.0,188.00012087200002,0.00012087200002497411,0.5,1,1.0000006429361703,0.9948456962500813,2,"on the home space is through and when he delivers to the cell phone again, it will be working single-handedly",2,"phone again, it will be working single-handedly .",Seed's rep. on the home space is through and when he delivers to the cell,183.92000000000002,186.441
11,3,mic_fileid_11_doa93_3spk_3.wav,4.0,4,mean_all_channels,188.0,192.0,264,3.981334163000156,4.0,192.0,192.00012981300006,0.00012981300005776575,0.5,1,1.0000006761093754,0.995333540750039,2,. It,2,It 's a swan-y pipe. It's like my own stone road,"phone again, it will be working single-handedly .",189.46,191.82
11,4,mic_fileid_11_doa93_3spk_4.wav,4.0,4,mean_all_channels,192.0,196.0,264,3.980856102999951,4.0,196.0,196.0002055770001,0.000205577000087942,0.5,1,1.0000010488622453,0.9952140257499877,2,'s a swan-y pipe. It's like my own stone road .,2,. Thank you.,It 's a swan-y pipe. It's like my own stone road,192.20000000000002,193.12
12,1,mic_fileid_12_doa38_3spk_1.wav,4.0,4,mean_all_channels,196.0,200.0,38,3.9805486599998403,4.0,200.0,200.00012897100032,0.00012897100032205344,0.5,1,1.0000006448550016,0.9951371649999601,2,Thank you. Thank,2,Thank >> [INAUDIBLE],,196.96,201.20000000000002
12,2,mic_fileid_12_doa38_3spk_2.wav,4.0,4,mean_all_channels,200.0,204.0,38,3.981767039999795,4.0,204.0,204.00015493499996,0.00015493499995500315,0.5,1,1.000000759485294,0.9954417599999488,1,>> [INAUDIBLE],1,">> Mrs. Anderson, you are not",Thank >> [INAUDIBLE],201.8,203.72
12,3,mic_fileid_12_doa38_3spk_3.wav,4.0,4,mean_all_channels,204.0,208.0,38,3.9809438360002787,4.0,208.0,208.00118711699997,0.0011871169999722042,0.5,1,1.000005707293269,0.9952359590000697,2,">> Mrs. Anderson, you are not a young, they want a rest.",3,"a young, they want a rest. They want to be able to make it.",">> Mrs. Anderson, you are not",204.0,207.46
12,4,mic_fileid_12_doa38_3spk_4.wav,4.0,4,mean_all_channels,208.0,212.0,38,3.9786186510000334,4.0,212.0,212.0005107310003,0.0005107310003040766,0.5,1,1.000002409108492,0.9946546627500084,2,They want to be able to make it.,1,her way to the dorms,"a young, they want a rest. They want to be able to make it.",210.4,211.56
12,5,mic_fileid_12_doa38_3spk_5.wav,4.0,4,mean_all_channels,212.0,216.0,38,3.9804589279997344,4.0,216.0,216.00012867000032,0.00012867000032201759,0.5,1,1.000000595694446,0.9951147319999336,1,her way to the dorms,1,.,her way to the dorms,215.0,215.001
13,1,mic_fileid_13_doa5_3spk_1.wav,4.0,4,mean_all_channels,216.0,220.0,5,3.9792696360000264,4.0,220.0,220.00014400999999,0.0001440099999854283,0.5,1,1.000000654590909,0.9948174090000066,2,. >> [INAUDIBLE],2,>> [INAUDIBLE] [inaudible,,217.16,221.56
13,2,mic_fileid_13_doa5_3spk_2.wav,4.0,4,mean_all_channels,220.0,224.0,5,3.978293227999984,4.0,224.0,224.00013457500017,0.00013457500017466373,0.5,1,1.0000006007812507,0.994573306999996,1,[inaudible,1,],>> [INAUDIBLE] [inaudible,223.78,223.781
13,3,mic_fileid_13_doa5_3spk_3.wav,4.0,4,mean_all_channels,224.0,228.0,5,3.980242330999772,4.0,228.0,228.0001202399999,0.00012023999988741707,0.5,1,1.0000005273684205,0.995060582749943,2,] [,2,[ inaudible],],224.02,227.22
13,4,mic_fileid_13_doa5_3spk_4.wav,4.0,4,mean_all_channels,228.0,232.0,5,3.983808193999721,4.0,232.0,232.00011687999995,0.00011687999995046994,0.5,1,1.0000005037931032,0.9959520484999302,1,inaudible],1,Palestine this and if it fails it is turned back,[ inaudible],228.44,231.74
13,5,mic_fileid_13_doa5_3spk_5.wav,4.0,4,mean_all_channels,232.0,236.0,5,3.959822923000047,4.0,236.0,236.00017089199991,0.0001708919999146019,0.5,1,1.0000007241186437,0.9899557307500118,2,Palestine this and if it fails it is turned back .,1,.,Palestine this and if it fails it is turned back,232.06,232.061
14,1,mic_fileid_14_doa181_3spk_1.wav,4.0,4,mean_all_channels,236.0,240.0,181,3.97948667799983,4.0,240.0,240.0012170509999,0.001217050999912317,0.5,1,1.000005071045833,0.9948716694999575,1,This was a curious population.,2,This was a curious population. The two spend hours together sometimes,,236.28,239.76000000000002
14,2,mic_fileid_14_doa181_3spk_2.wav,4.0,4,mean_all_channels,240.0,244.0,181,3.978946750000432,4.0,244.0,244.00054932600005,0.0005493260000548617,0.5,1,1.0000022513360658,0.994736687500108,2,The two spend hours together sometimes to a tiny parlor. St,2,to a tiny parlor. St ompy boarder for little difficulties and,This was a curious population. The two spend hours together sometimes,240.36,243.68
14,3,mic_fileid_14_doa181_3spk_3.wav,4.0,4,mean_all_channels,244.0,248.0,181,3.980798959999902,4.0,248.0,248.00009513900022,9.51390002228436e-05,0.5,1,1.0000003836250009,0.9951997399999755,2,ompy boarder for little difficulties and now and then Watery 2 and Pro,2,"now and then Watery 2 and Pro , conversational input percent",to a tiny parlor. St ompy boarder for little difficulties and,243.92000000000002,247.34
14,4,mic_fileid_14_doa181_3spk_4.wav,4.0,4,mean_all_channels,248.0,252.0,181,3.984112329999789,4.0,252.0,252.00017812400029,0.0001781240002856066,0.5,1,1.000000706841271,0.9960280824999472,2,", conversational input percent to the optimal stitch and from the optimal",3,to the optimal stitch and from the optimal stitch to Dennis. [BLANK_AUDIO],"now and then Watery 2 and Pro , conversational input percent",247.92000000000002,252.52
14,5,mic_fileid_14_doa181_3spk_5.wav,4.0,4,mean_all_channels,252.0,256.0,181,3.9799588670002777,4.0,256.0,256.00015559400026,0.00015559400026177173,0.5,1,1.0000006077890635,0.9949897167500694,2,stitch to Dennis. [BLANK_AUDIO],0,,to the optimal stitch and from the optimal stitch to Dennis. [BLANK_AUDIO],,
15,1,mic_fileid_15_doa78_3spk_1.wav,4.0,4,mean_all_channels,256.0,260.0,266,3.980952347999846,4.0,260.0,260.0001223869999,0.00012238699991939939,0.5,1,1.0000004707192305,0.9952380869999615,1,When I'm sure he,2,When I'm sure he follows his favorite family's,,256.64,259.79999999999995
15,2,mic_fileid_15_doa78_3spk_2.wav,4.0,4,mean_all_channels,260.0,264.0,266,3.9771753320001153,4.0,264.0,264.00012474799996,0.00012474799996198271,0.5,1,1.0000004725303029,0.9942938330000288,2,follows his favorite family's own. And it was never known to,2,own. And it was never known to lose. Except when speech,When I'm sure he follows his favorite family's,259.96,263.67999999999995
15,3,mic_fileid_15_doa78_3spk_3.wav,4.0,4,mean_all_channels,264.0,268.0,266,3.9824103409996496,4.0,268.0,268.0001365590001,0.00013655900011144695,0.5,1,1.0000005095485078,0.9956025852499124,2,"lose. Except when speech and appearance, he was the counter-p",2,"and appearance, he was the counter-p uller, so he had these good hands, well",own. And it was never known to lose. Except when speech,263.97999999999996,267.56
15,4,mic_fileid_15_doa78_3spk_4.wav,4.0,4,mean_all_channels,268.0,272.0,266,3.9821905469998455,4.0,272.0,272.0012214000003,0.0012214000003041292,0.5,1,1.0000044904411776,0.9955476367499614,2,"uller, so he had these good hands, well cared for, household dog",2,"cared for, household dog .","and appearance, he was the counter-p uller, so he had these good hands, well",268.14,269.92099999999994
16,1,mic_fileid_16_doa36_3spk_1.wav,4.0,4,mean_all_channels,272.0,276.0,36,3.977756588000375,4.0,276.0,276.0005244920003,0.0005244920002951403,0.5,1,1.0000019003333345,0.9944391470000937,2,". One heard summer day, the",2,"One heard summer day, the fling was after Mary and Julia",,271.96,275.41999999999996
16,2,mic_fileid_16_doa36_3spk_2.wav,4.0,4,mean_all_channels,276.0,280.0,36,3.978149298000062,4.0,280.0,280.0001412780002,0.0001412780002283398,0.5,1,1.0000005045642866,0.9945373245000155,2,fling was after Mary and Julia returning to the council in St,2,"returning to the council in St . Croix, not to spend a very active exercise","One heard summer day, the fling was after Mary and Julia",276.58,279.84
16,3,mic_fileid_16_doa36_3spk_3.wav,4.0,4,mean_all_channels,280.0,284.0,36,3.978408821999892,4.0,284.0,284.0001461840002,0.00014618400018662214,0.5,1,1.000000514732395,0.994602205499973,2,". Croix, not to spend a very active exercise in the Holy Church",2,in the Holy Church .,"returning to the council in St . Croix, not to spend a very active exercise",280.91999999999996,282.16099999999994
16,4,mic_fileid_16_doa36_3spk_4.wav,4.0,4,mean_all_channels,284.0,288.0,36,3.9817848390002837,4.0,288.0,288.0001932170003,0.00019321700028740452,0.5,1,1.000000670892362,0.9954462097500709,2,. The End.,1,The End.,in the Holy Church .,284.7,285.41999999999996
17,1,mic_fileid_17_doa99_3spk_1.wav,4.0,4,mean_all_channels,288.0,292.0,99,3.979999158999817,4.0,292.0,292.00014882799996,0.0001488279999648512,0.5,1,1.0000005096849314,0.9949997897499543,1,Wasn't she later on engaged to a man,2,"Wasn't she later on engaged to a man who she really loved? Yes,",,288.28,291.78
17,2,mic_fileid_17_doa99_3spk_2.wav,4.0,4,mean_all_channels,292.0,296.0,99,3.981745367000258,4.0,296.0,296.0001294540002,0.00012945400021635578,0.5,1,1.0000004373445954,0.9954363417500645,2,"who she really loved? Yes, that was it. And during all the time she",2,that was it. And during all the time she kept up her old liaison with,"Wasn't she later on engaged to a man who she really loved? Yes,",291.9,295.06
17,3,mic_fileid_17_doa99_3spk_3.wav,4.0,4,mean_all_channels,296.0,300.0,99,3.979773583000224,4.0,300.0,300.0001376539999,0.000137653999900067,0.5,1,1.0000004588466664,0.994943395750056,2,"kept up her old liaison with the author of ""Wanted to Show That a Woman Can Love It",2,"the author of ""Wanted to Show That a Woman Can Love It Too Late May Only a One",that was it. And during all the time she kept up her old liaison with,295.96,299.71999999999997
17,4,mic_fileid_17_doa99_3spk_4.wav,4.0,4,mean_all_channels,300.0,304.0,99,3.9808806619998904,4.0,304.0,304.00144141300007,0.0014414130000659497,0.5,1,1.0000047414901319,0.9952201654999726,2,"Too Late May Only a One That's True, Not This Late Certainly",2,"That's True, Not This Late Certainly .","the author of ""Wanted to Show That a Woman Can Love It Too Late May Only a One",300.34,302.24099999999993
18,1,mic_fileid_18_doa181_3spk_1.wav,4.0,4,mean_all_channels,304.0,308.0,181,3.978112237000005,4.0,308.0,308.000698114,0.0006981139999879815,0.5,1,1.0000022666038961,0.9945280592500012,2,. And don't I hope that first picture,2,And don't I hope that first picture turned out good? It was a,,304.17999999999995,307.73999999999995
18,2,mic_fileid_18_doa181_3spk_2.wav,4.0,4,mean_all_channels,308.0,312.0,181,3.9788293710003018,4.0,312.0,312.000211389,0.0002113890000146057,0.5,1,1.0000006775288461,0.9947073427500754,2,"turned out good? It was a remarkable, better, and less humane to focus",2,"remarkable, better, and less humane to focus on.",And don't I hope that first picture turned out good? It was a,307.88,310.52
18,3,mic_fileid_18_doa181_3spk_3.wav,4.0,4,mean_all_channels,312.0,316.0,181,3.97991669799967,4.0,316.0,316.0001434830001,0.00014348300010169623,0.5,1,1.0000004540601268,0.9949791744999175,2,on. He started toward the cabin door as though,2,He started toward the cabin door as though anxious to develop his role as film and,"remarkable, better, and less humane to focus on.",311.9,315.71999999999997
