fileid,mic_file,method,speaker_id,duration_sec,gt_doa,mic_channel,gt_text_file,wer,edit_distance,ref_words,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
10,mic_fileid_10_doa3_3spk.wav,NoEnhancement-NoisyMixture,1,15.430875,3,1,text_fileid_10_doa3_spk1.txt,0.2,9,45,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,"Here he saw clients when Mr. Carlisle was out or engaged, and here he issued private orders. A little window, not larger than a hand-to-mouth, looked out for a clerk's office. They called it Old Dills People and wished it anywhere else.",0.60993027800032,0.60993027800032,0.03952661647510721,0.03952661647510721,1
11,mic_fileid_11_doa93_3spk.wav,NoEnhancement-NoisyMixture,1,15.721,264,1,text_fileid_11_doa264_spk1.txt,0.71875,23,32,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Seeds revolving along the road, straight when he delivered himself of the gas fuel and silver. The Perrysburg ice strut of things like slimy pipe, avoiding miles of stone road, and almost to dead levels.",0.5722816519992193,0.5722816519992193,0.03640236956931616,0.03640236956931616,1
12,mic_fileid_12_doa38_3spk.wav,NoEnhancement-NoisyMixture,1,17.289,38,1,text_fileid_12_doa38_spk1.txt,0.525,21,40,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"of any other map which might have been a challenge to one of her husband's conductors, Mrs. Anderson, new of Young Water, to car her into mind that her ordeal was ended and the veiled lady made her way to the door.",0.6035212830011005,0.6035212830011005,0.03490781901793629,0.03490781901793629,1
13,mic_fileid_13_doa5_3spk.wav,NoEnhancement-NoisyMixture,1,17.47475,5,1,text_fileid_13_doa5_spk1.txt,0.6410256410256411,25,39,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,"No matter how difficult, and very difficult, or ever, they do not defend long, or reply, let them build your own one day of your youth with Alice in this, and if you fail, it is too late.",0.5098908319996553,0.5098908319996553,0.029178719695541016,0.029178719695541016,1
14,mic_fileid_14_doa181_3spk.wav,NoEnhancement-NoisyMixture,1,17.749,181,1,text_fileid_14_doa181_spk1.txt,0.2619047619047619,11,42,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious compilation. The two spent hours together sometimes, to the tiny parlor, stumbling over litual difficulties, and now and then, wondering if true and pro, conversationally from per se to the octagon stitch, and from the octagon stitch to Dennis.",0.5928938319993904,0.5928938319993904,0.03340435134370333,0.03340435134370333,1
15,mic_fileid_15_doa78_3spk.wav,NoEnhancement-NoisyMixture,1,15.6375,266,1,text_fileid_15_doa266_spk1.txt,0.3055555555555556,11,36,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"When on shore he followed his favorite, the dog, and was never known to move, except on speech and appearance, he was the counterpart of a happy, good-natured, well-cared, poor household dog.",0.4584423920005065,0.4584423920005065,0.029316859600352137,0.029316859600352137,1
16,mic_fileid_16_doa36_3spk.wav,NoEnhancement-NoisyMixture,1,15.665875,36,1,text_fileid_16_doa36_spk1.txt,0.325,13,40,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,"One hot summer day, a few months after the marriage, Julia, returning to the council, a sacred and happy spiritual very active exercise at the church was met on the doorstep by Dora, the youngest of the Dorian seaburchers.",0.5236176300004445,0.5236176300004445,0.033424090898238654,0.033424090898238654,1
17,mic_fileid_17_doa99_3spk.wav,NoEnhancement-NoisyMixture,1,16.526625,99,1,text_fileid_17_doa99_spk1.txt,0.0784313725490196,4,51,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged to a man who she really loved? Yes, that was it. And during all the time she kept up her old layers on it. The author wanted to show that a woman can love in two ways. A man only in one. That's true enough, isn't it? Certainly.",0.7392669979999482,0.7392669979999482,0.044731879497474425,0.044731879497474425,1
18,mic_fileid_18_doa181_3spk.wav,NoEnhancement-NoisyMixture,1,15.649,181,1,text_fileid_18_doa181_spk1.txt,0.13333333333333333,6,45,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,And don't I hope that first picture turns out good? It was a remarkable post. Only the focus was right to me. He started toward the cabin door as though anxious to develop his role in film and discover what success his labor had resulted in.,0.6934590810014925,0.6934590810014925,0.04431331593082577,0.04431331593082577,1
19,mic_fileid_19_doa121_3spk.wav,NoEnhancement-NoisyMixture,1,17.152125,340,1,text_fileid_19_doa340_spk1.txt,0.11904761904761904,5,42,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"The injuries to DotCova had delayed the march so greatly that it was decided to give up the expedition, which was arrayed upon a small, dark community in retaliation for the destruction of the incubator, until after the great games.",0.6602914289996988,0.6602914289996988,0.038496188023332316,0.038496188023332316,1
20,mic_fileid_20_doa68_3spk.wav,NoEnhancement-NoisyMixture,1,16.674375,68,1,text_fileid_20_doa68_spk1.txt,0.38235294117647056,13,34,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,"A lemon was about to approach the dead body and had begun to look at it when the brother, looking up at him from under his brows with calm contempt, said something sharply and angrily. I wish, in my views, that it was impossible to proceed.",0.6267804550006986,0.6267804550006986,0.03758944218303226,0.03758944218303226,1
21,mic_fileid_21_doa34_3spk.wav,NoEnhancement-NoisyMixture,1,17.10975,34,1,text_fileid_21_doa34_spk1.txt,0.16216216216216217,6,37,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,"We then went to work on a clothes after the pattern of the Natcheli estimate, and the sewing went on early and late. Thick and rax and thin ones, heavy breeches and light, winter stockings and summer stockings.",0.54170096100097,0.54170096100097,0.031660366808455416,0.031660366808455416,1
22,mic_fileid_22_doa22_3spk.wav,NoEnhancement-NoisyMixture,1,16.8605,345,1,text_fileid_22_doa345_spk1.txt,1.0263157894736843,39,38,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,"That is two-and-four-and-five-four-and-five-and-five-and-five, and you throw wits and common sense, and educate our own. Clearly my dear, our friendship is just growing, and I never did any more. There being no point of equilibrium between liking more, and liking less.",7.303333986001235,7.303333986001235,0.4331623609027749,0.4331623609027749,1
23,mic_fileid_23_doa6_3spk.wav,NoEnhancement-NoisyMixture,1,16.07425,212,1,text_fileid_23_doa212_spk1.txt,0.041666666666666664,2,48,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,"When his crimes were heard by a farmer who was walking home from town while he was brought back to his father's house, he was so tired and excited that he did not know what was happening to him. By chance, David's father knew that he had disappeared.",0.567588533000162,0.567588533000162,0.035310420890564846,0.035310420890564846,1
24,mic_fileid_24_doa57_3spk.wav,NoEnhancement-NoisyMixture,1,16.518375,289,1,text_fileid_24_doa289_spk1.txt,0.1951219512195122,8,41,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I had not forgotten the ribboned head jagged throat, but she sighed, and quickly as I shot to the ladder, she was there before me, a dim, wavering white shade waiting. I paused, holding to a rung of the ladder with one hand.",0.5379461079992325,0.5379461079992325,0.032566527155318395,0.032566527155318395,1
25,mic_fileid_25_doa112_3spk.wav,NoEnhancement-NoisyMixture,1,14.702125,112,1,text_fileid_25_doa112_spk1.txt,0.5277777777777778,19,36,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,"There was the sweetness of the Mayflower and the strength of the young oak, and one could easily define that she was one of the soul's by nature pitch too high by suffering plunge to life. Once raised herself in the heart, and she was very proud of him.",0.4764063950005948,0.4764063950005948,0.03240391406008279,0.03240391406008279,1
26,mic_fileid_26_doa34_3spk.wav,NoEnhancement-NoisyMixture,1,15.26275,34,1,text_fileid_26_doa34_spk1.txt,0.20588235294117646,7,34,THEY CAME FROM THE EAST WEST NORTH AND SOUTH ALL SORRY TO KNOW OF HER ILLNESS AND BRINGING PRESENTS WITH THEM SOMETIMES IT WAS A LITTLE LIVE BIRD OR SQUIRREL A DELICIOUS SALMON TROUT,"They came from the east, west, north, and south, all suffering to know of her illness and bringing presents with them. Sometimes it was a little like a dessert or a squirrel or a delicious salmon trowel.",0.3702450939999835,0.3702450939999835,0.024258085469524397,0.024258085469524397,1
27,mic_fileid_27_doa31_3spk.wav,NoEnhancement-NoisyMixture,1,17.2175,173,1,text_fileid_27_doa173_spk1.txt,0.2857142857142857,10,35,IT SEEMS THAT THE PUBLIC ADMIRE HER AS MUCH AS I HAVE DONE I I SHALL FIND HER SOME DAY THEN SHE WILL RETURN TO ME STILL THINKING OF HER I OBSERVED REPROACHFULLY YES ALWAYS,"It seems that the public admire her as much as I do. I shall find her someday that she will return to me. So, still thinking of her, I observe her professionally. Yes, always.",0.4010294370000338,0.4010294370000338,0.023291966719909032,0.023291966719909032,1
28,mic_fileid_28_doa124_3spk.wav,NoEnhancement-NoisyMixture,1,16.91975,217,1,text_fileid_28_doa217_spk1.txt,0.7241379310344828,21,29,FELL FAR SHORT DON'T LOOK BACK GRUNTED VENTNOR STRETCH YOURSELF WALTER THERE'S A SURPRISE COMING HOPE TO GOD I JUDGED THE TIME RIGHT WE TURNED OFF THE RUINED WAY,"Bell for short. Don't look back, printed manner. Stretch yourself, Walter, there's a surprise coming. Hope to God I judged the time right to do it. We turned off the ruin way. Who gave him the right to do that? It was discovered, for example.",0.5187654420005856,0.5187654420005856,0.03066034911866816,0.03066034911866816,1
29,mic_fileid_29_doa111_3spk.wav,NoEnhancement-NoisyMixture,1,16.015375,111,1,text_fileid_29_doa111_spk1.txt,0.21621621621621623,8,37,MY FATHER WAS AND STILL IS RECEVEUR GENERAL AT C HE HAS A GREAT REPUTATION THERE FOR LOYALTY THANKS TO WHICH HE WAS ABLE TO FIND THE SECURITY WHICH HE NEEDED IN ORDER TO ATTAIN THIS POSITION,"My father was and still is, receiver general at C. He has a great reputation back for loyalty. Thanks to which he was able to fund the security which committed in order to retain possession.",0.3428219889992761,0.3428219889992761,0.02140580467202773,0.02140580467202773,1
30,mic_fileid_30_doa12_3spk.wav,NoEnhancement-NoisyMixture,1,16.907625,12,1,text_fileid_30_doa12_spk1.txt,0.23809523809523808,10,42,WHICH COVERED THEM DOWN TO THE ANKLES AND WHICH THEY WORE WINTER AND SUMMER WOMEN COMMONLY WORE A LONG LOOSE CLOAK WITH A HOOD A FASHION WHICH IS COMMON AT THE PRESENT DAY THE OVER GARMENTS WERE FASTENED BY BROOCHES PINS BUTTONS,"which covered them down to the angles at which they wore winter hats. When they'd come, they wore a long loose cloak with a hood, a fashion which was common at the present day. The overgrabments were fastened by brooches, pins, buttons.",0.4801441489998979,0.4801441489998979,0.028398083645686363,0.028398083645686363,1
31,mic_fileid_31_doa53_3spk.wav,NoEnhancement-NoisyMixture,1,17.74825,53,1,text_fileid_31_doa53_spk1.txt,0.4878048780487805,20,41,THIS WAS THE PORTER WHO HAD BEEN KILLED BY LE CABUC BELOW BY THE LIGHTS OF THE TORCH WHICH WAS THRUST BETWEEN THE PAVING STONES THIS HEAD COULD BE VAGUELY DISTINGUISHED NOTHING COULD BE STRANGER IN THAT SOMBRE AND UNCERTAIN GLEAM,"This was the torch beetle, which had been killed by a dookalonetic apparatus. Below, by the legs of a torch, which was thrust between the bany stones, this head was vaguely disengaged. Nothing could remain, and enough sovereign, of a certain grieve.",0.5037116129988135,0.5037116129988135,0.028380917160779996,0.028380917160779996,1
32,mic_fileid_32_doa102_3spk.wav,NoEnhancement-NoisyMixture,1,16.7025,102,1,text_fileid_32_doa102_spk1.txt,1.457142857142857,51,35,LET ME BE OBSEQUIOUS IN THY HEART AND TAKE THOU MY OBLATION POOR BUT FREE WHICH IS NOT MIX'D WITH SECONDS KNOWS NO ART BUT MUTUAL RENDER ONLY ME FOR THEE HENCE THOU SUBORNED INFORMER,"And you can't master it, you're a traitor yourself. I know you all play you all live. If this is a prank, a waste of time, it's worth spending our time at Shennan Rally 4 called Paggig Mastering in the fifth field. Get me a piece of rope saw and a gliding gate.",0.6299539150004421,0.6299539150004421,0.0377161451878726,0.0377161451878726,1
33,mic_fileid_33_doa34_3spk.wav,NoEnhancement-NoisyMixture,1,17.067375,345,1,text_fileid_33_doa345_spk1.txt,0.8461538461538461,33,39,WHEN I WENT TO SLEEP LAST NIGHT I BELONGED TO GOVERNOR LUCAS BUT I UNDERSTAND DAT HE IS BIN GAMBLING ALL NIGHT SO I DON'T KNOW WHO OWNS ME DIS MORNING SUCH IS THE UNCERTAINTY OF A SLAVE'S POSITION,"And she had a sweet last night, I didn't want to go to her, but I understand that he is in the end of the long run, so I don't know who to be his wife. I'm sure he's happy there today, dear girl. Go to sleep.",0.46247743599997193,0.46247743599997193,0.027097162627526025,0.027097162627526025,1
34,mic_fileid_34_doa125_3spk.wav,NoEnhancement-NoisyMixture,1,15.904625,157,1,text_fileid_34_doa157_spk1.txt,0.06976744186046512,3,43,THEREFORE SELLEN HAD FALLEN ON EVIL DAYS FOR HE COULD NOT BRING HIMSELF TO PAINT AGAINST HIS BETTER JUDGMENT HE WAS NOW RENTING A FORMER PHOTOGRAPHIC STUDIO ON THE TOP OF A HOUSE IN GOVERNMENT STREET THE ACCOMMODATION CONSISTED OF THE STUDIO ITSELF,"Therefore, Sohan had fallen on evil days, for he could not bring himself to paint against his better judgment. He was now running a former photographic studio on the top of the house in Government Street. The accommodation consisted of the studio itself.",0.41573435600002995,0.41573435600002995,0.026139211455789117,0.026139211455789117,1
35,mic_fileid_35_doa24_3spk.wav,NoEnhancement-NoisyMixture,1,18.1805,24,1,text_fileid_35_doa24_spk1.txt,0.04081632653061224,2,49,THE WESTERN WORLD IS WARNED IF NOT ARMED AGAINST THE POSSIBILITY OF IT IN THE SECOND PLACE THERE IS A WEAKNESS INHERENT IN THE BROWN MAN WHICH WILL BRING HIS ADVENTURE TO NAUGHT FROM THE WEST HE HAS BORROWED ALL OUR MATERIAL ACHIEVEMENT AND PASSED OUR ETHICAL ACHIEVEMENT BY,"The Western world is warned if not mocked against the possibility of it. In the second place, there is weakness inherent in the brown man which will bring his adventure to naught. From the West, he has borrowed all our material achievement and passed our ethical achievement by.",0.4623802819987759,0.4623802819987759,0.02543275938498809,0.02543275938498809,1
36,mic_fileid_36_doa24_3spk.wav,NoEnhancement-NoisyMixture,1,17.311625,269,1,text_fileid_36_doa269_spk1.txt,1.3333333333333333,44,33,THE BRIDGE OPENED ON A RATHER FINE STREET CALLED SAINT THOMAS'S STREET HE ENTERED IT HERE AND THERE WERE HIGH CARVED GABLES AND SHOP FRONTS HE SET TO KNOCKING AT THE DOORS AGAIN,"He imagined that she was too young and an experience to care for her students, but that was the end of the truth. Here and there, when Harkovar labeled the young prince, he said to Harkovar, the land has joined her father's, had won the heart of the princess.",0.4987054449993593,0.4987054449993593,0.02880754666297123,0.02880754666297123,1
37,mic_fileid_37_doa51_3spk.wav,NoEnhancement-NoisyMixture,1,13.878,104,1,text_fileid_37_doa104_spk1.txt,0.22580645161290322,7,31,AND THERE WAS MUCH COMMENT ON THIS EVIDENCE OF A DECLINING INDUSTRY IT WAS NOT AT ONCE RECOGNIZED THAT THERE WAS EMBODIED IN HORSE FLESH MORE HORSE POWER THAN EVER BEFORE,There was much comment on this evidence of the climate issue. It was not once recognized that there was embodied in horse flesh more horsepower than ever before.,0.2672226900012902,0.2672226900012902,0.019255129701779086,0.019255129701779086,1
38,mic_fileid_38_doa1_3spk.wav,NoEnhancement-NoisyMixture,1,17.663875,1,1,text_fileid_38_doa1_spk1.txt,0.7948717948717948,31,39,ONCE UPON A TIME THERE WAS AN OLD WIDOW WOMAN WHO HAD THREE SONS THE FIRST TWO WERE CLEVER ENOUGH BUT THE THIRD BOBO BY NAME WAS LITTLE BETTER THAN A SILLY SIMPLETON ALL HIS MOTHER'S SCOLDINGS AND BEATINGS,"What's the fun time of an old little woman who had three sons? The first and the last one. But the third, all little five little girls, what's real better than a sister? All her brothers, both of them, have been in this for social life.",0.49728334300016286,0.49728334300016286,0.02815256239076436,0.02815256239076436,1
39,mic_fileid_39_doa156_3spk.wav,NoEnhancement-NoisyMixture,1,16.29675,250,1,text_fileid_39_doa250_spk1.txt,0.08695652173913043,4,46,BUT HE MADE HIS WAY DOWN TO THE FORD UNDER THE PALACE WALLS AND STEPPED INTO THE FLOODED WATER INCH BY INCH AND FOOT BY FOOT HE FOUGHT HIS WAY ACROSS NOW NEARLY SWEPT OFF HIS FEET BY SOME SUDDEN SWIRL OR EDDY NOW NARROWLY ESCAPING,"But he made his way down to the floor and under the palace walls and stepped into the flood of water. Inch by inch and foot by foot he fought his way across. Now nearly swept off his feet by some sudden swirl or eddy, now narrowly escaping.",0.46636146200035,0.46636146200035,0.028616838449405557,0.028616838449405557,1
40,mic_fileid_40_doa14_3spk.wav,NoEnhancement-NoisyMixture,1,13.925,14,1,text_fileid_40_doa14_spk1.txt,0.11538461538461539,3,26,WE ADVANCED TALKING IN THAT FASHION AND IN HIGH SPIRITS AND CONGRATULATING OURSELVES IN BEING SHUT OF THE TRANSPORT AND ON BREATHING FINE MOUNTAIN AIR AGAIN,"We advanced, talking in their fashion, and in high spirits, and congratulating ourselves on being shut up of the transport and on breathing fine mountain air again.",0.2897276929998043,0.2897276929998043,0.020806297522427596,0.020806297522427596,1
