fileid,chunk_count,chunk_indices,chunk_mic_files,audio_start_sec,audio_end_sec,audio_duration_sec,gt_dominant_spk1_doa,gt_text_file,input_audio_mode,reference_text,hypothesis_text,wer,edit_distance,ref_words,hypothesis_text_cleaned,wer_cleaned,edit_distance_cleaned,ref_words_cleaned
15,4,"1,2,3,4",mic_fileid_15_doa78_3spk_1.wav|mic_fileid_15_doa78_3spk_2.wav|mic_fileid_15_doa78_3spk_3.wav|mic_fileid_15_doa78_3spk_4.wav,256.0,272.0,16.0,266,text_fileid_15_doa266_spk1.txt,mean_all_channels,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"When I'm sure he follows his favorite family's own. And it was never known to lose. Except when speech and appearance, he was the counter-p uller, so he had these good hands, well cared for, household dog .",0.5,18,36,"When I'm sure he follows his favorite family's own. And it was never known to lose. Except when speech and appearance, he was the counter-p uller, so he had these good hands, well cared for, household dog.",0.5,18,36
16,4,"1,2,3,4",mic_fileid_16_doa36_3spk_1.wav|mic_fileid_16_doa36_3spk_2.wav|mic_fileid_16_doa36_3spk_3.wav|mic_fileid_16_doa36_3spk_4.wav,272.0,288.0,16.0,36,text_fileid_16_doa36_spk1.txt,mean_all_channels,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,"One heard summer day, the fling was after Mary and Julia returning to the council in St . Croix, not to spend a very active exercise in the Holy Church . The End.",0.75,30,40,"One heard summer day, the fling was after Mary and Julia returning to the council in St. Croix, not to spend a very active exercise in the Holy Church. The End.",0.75,30,40
17,4,"1,2,3,4",mic_fileid_17_doa99_3spk_1.wav|mic_fileid_17_doa99_3spk_2.wav|mic_fileid_17_doa99_3spk_3.wav|mic_fileid_17_doa99_3spk_4.wav,288.0,304.0,16.0,99,text_fileid_17_doa99_spk1.txt,mean_all_channels,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged to a man who she really loved? Yes, that was it. And during all the time she kept up her old liaison with the author of ""Wanted to Show That a Woman Can Love It Too Late May Only a One That's True, Not This Late Certainly .",0.23529411764705882,12,51,"Wasn't she later on engaged to a man who she really loved? Yes, that was it. And during all the time she kept up her old liaison with the author of""Wanted to Show That a Woman Can Love It Too Late May Only a One That's True, Not This Late Certainly.",0.23529411764705882,12,51
18,4,"1,2,3,4",mic_fileid_18_doa181_3spk_1.wav|mic_fileid_18_doa181_3spk_2.wav|mic_fileid_18_doa181_3spk_3.wav|mic_fileid_18_doa181_3spk_4.wav,304.0,320.0,16.0,181,text_fileid_18_doa181_spk1.txt,mean_all_channels,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,"And don't I hope that first picture turned out good? It was a remarkable, better, and less humane to focus on. He started toward the cabin door as though anxious to develop his role as film and discover what success his labor had resulted in the next video.",0.28888888888888886,13,45,"And don't I hope that first picture turned out good? It was a remarkable, better, and less humane to focus on. He started toward the cabin door as though anxious to develop his role as film and discover what success his labor had resulted in the next video.",0.28888888888888886,13,45
19,5,"1,2,3,4,5",mic_fileid_19_doa121_3spk_1.wav|mic_fileid_19_doa121_3spk_2.wav|mic_fileid_19_doa121_3spk_3.wav|mic_fileid_19_doa121_3spk_4.wav|mic_fileid_19_doa121_3spk_5.wav,320.0,340.0,20.0,340,text_fileid_19_doa340_spk1.txt,mean_all_channels,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"Thank you decided to give up the expedition, which was arrayed upon a small, dark community in retaliation for the destruction of the incubator until after the Great Games. - Such a subject. - I",0.5,21,42,"Thank you decided to give up the expedition, which was arrayed upon a small, dark community in retaliation for the destruction of the incubator until after the Great Games. - Such a subject. - I",0.5,21,42
20,4,"1,2,3,4",mic_fileid_20_doa68_3spk_1.wav|mic_fileid_20_doa68_3spk_2.wav|mic_fileid_20_doa68_3spk_3.wav|mic_fileid_20_doa68_3spk_4.wav,340.0,356.0,16.0,68,text_fileid_20_doa68_spk1.txt,mean_all_channels,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,leann was about to approach the dead body and had begun to look at it when the brother looking up a table from under his brows with calm contempt. Said something sharply and angri ly nothing. We,0.20588235294117646,7,34,leann was about to approach the dead body and had begun to look at it when the brother looking up a table from under his brows with calm contempt. Said something sharply and angri ly nothing. We,0.20588235294117646,7,34
21,4,"1,2,3,4",mic_fileid_21_doa34_3spk_1.wav|mic_fileid_21_doa34_3spk_2.wav|mic_fileid_21_doa34_3spk_3.wav|mic_fileid_21_doa34_3spk_4.wav,356.0,372.0,16.0,34,text_fileid_21_doa34_spk1.txt,mean_all_channels,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,then went towards organic flow after the passing of the net shell estimate and the sum went on early and late to think and or act something once every bre aches I went your stock ings and some are showing his spout as he swung.,0.8918918918918919,33,37,then went towards organic flow after the passing of the net shell estimate and the sum went on early and late to think and or act something once every bre aches I went your stock ings and some are showing his spout as he swung.,0.8918918918918919,33,37
22,4,"1,2,3,4",mic_fileid_22_doa22_3spk_1.wav|mic_fileid_22_doa22_3spk_2.wav|mic_fileid_22_doa22_3spk_3.wav|mic_fileid_22_doa22_3spk_4.wav,372.0,388.0,16.0,345,text_fileid_22_doa345_spk1.txt,mean_all_channels,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,[Indistinct chatter [inaudible] [inaudible ],1.0,38,38,,1.0,38,38
23,4,"1,2,3,4",mic_fileid_23_doa6_3spk_1.wav|mic_fileid_23_doa6_3spk_2.wav|mic_fileid_23_doa6_3spk_3.wav|mic_fileid_23_doa6_3spk_4.wav,388.0,404.0,16.0,212,text_fileid_23_doa212_spk1.txt,mean_all_channels,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,"[BLANK walking home from town, he was brought back to his father's house . He was so tired and excited to give her what was happening to him. By chance, David 's father, the man who had to die disappeared .",0.4791666666666667,23,48,"BLANK walking home from town, he was brought back to his father's house. He was so tired and excited to give her what was happening to him. By chance, David's father, the man who had to die disappeared.",0.4375,21,48
24,4,"1,2,3,4",mic_fileid_24_doa57_3spk_1.wav|mic_fileid_24_doa57_3spk_2.wav|mic_fileid_24_doa57_3spk_3.wav|mic_fileid_24_doa57_3spk_4.wav,404.0,420.0,16.0,289,text_fileid_24_doa289_spk1.txt,mean_all_channels,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I have not forgotten the rivet jacket for a little pressure side . She was there before me, a dim, wavering, white shade waiting. I paused, holding to a rung of a ladder with one hand .",0.3902439024390244,16,41,"I have not forgotten the rivet jacket for a little pressure side. She was there before me, a dim, wavering, white shade waiting. I paused, holding to a rung of a ladder with one hand.",0.3902439024390244,16,41
25,3,"1,2,3",mic_fileid_25_doa112_3spk_1.wav|mic_fileid_25_doa112_3spk_2.wav|mic_fileid_25_doa112_3spk_3.wav,420.0,432.0,12.0,112,text_fileid_25_doa112_spk1.txt,mean_all_channels,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,"There was the sweetness of the Mayflower and the strength of the young oak. One could easily define that she was one of the role of the nature of picture high by suffering plums to love. Once raised herself, but you've been",0.4444444444444444,16,36,"There was the sweetness of the Mayflower and the strength of the young oak. One could easily define that she was one of the role of the nature of picture high by suffering plums to love. Once raised herself, but you've been",0.4444444444444444,16,36
26,4,"1,2,3,4",mic_fileid_26_doa34_3spk_1.wav|mic_fileid_26_doa34_3spk_2.wav|mic_fileid_26_doa34_3spk_3.wav|mic_fileid_26_doa34_3spk_4.wav,432.0,448.0,16.0,34,text_fileid_26_doa34_spk1.txt,mean_all_channels,THEY CAME FROM THE EAST WEST NORTH AND SOUTH ALL SORRY TO KNOW OF HER ILLNESS AND BRINGING PRESENTS WITH THEM SOMETIMES IT WAS A LITTLE LIVE BIRD OR SQUIRREL A DELICIOUS SALMON TROUT,"looking for the east, west, north and south . It was a custom of mine . Sometimes it was a little like a spurt of squirrel markers. A delicious salmon trout. (audio",0.5882352941176471,20,34,"looking for the east, west, north and south. It was a custom of mine. Sometimes it was a little like a spurt of squirrel markers. A delicious salmon trout. (audio",0.5882352941176471,20,34
27,5,"1,2,3,4,5",mic_fileid_27_doa31_3spk_1.wav|mic_fileid_27_doa31_3spk_2.wav|mic_fileid_27_doa31_3spk_3.wav|mic_fileid_27_doa31_3spk_4.wav|mic_fileid_27_doa31_3spk_5.wav,448.0,468.0,20.0,173,text_fileid_27_doa173_spk1.txt,mean_all_channels,IT SEEMS THAT THE PUBLIC ADMIRE HER AS MUCH AS I HAVE DONE I I SHALL FIND HER SOME DAY THEN SHE WILL RETURN TO ME STILL THINKING OF HER I OBSERVED REPROACHFULLY YES ALWAYS,"cuts out) I shall find her someday , then she will return to me. I guess it was a mind still thinking of everybody. I observed the time he did yes always .",0.7714285714285715,27,35,"cuts out) I shall find her someday, then she will return to me. I guess it was a mind still thinking of everybody. I observed the time he did yes always.",0.7714285714285715,27,35
28,4,"1,2,3,4",mic_fileid_28_doa124_3spk_1.wav|mic_fileid_28_doa124_3spk_2.wav|mic_fileid_28_doa124_3spk_3.wav|mic_fileid_28_doa124_3spk_4.wav,468.0,484.0,16.0,217,text_fileid_28_doa217_spk1.txt,mean_all_channels,FELL FAR SHORT DON'T LOOK BACK GRUNTED VENTNOR STRETCH YOURSELF WALTER THERE'S A SURPRISE COMING HOPE TO GOD I JUDGED THE TIME RIGHT WE TURNED OFF THE RUINED WAY,"At this point, I'm going to go through the entire process . We turned up the wrong way. Who gave you that ?",0.9310344827586207,27,29,"At this point, I'm going to go through the entire process. We turned up the wrong way. Who gave you that?",0.9310344827586207,27,29
29,4,"1,2,3,4",mic_fileid_29_doa111_3spk_1.wav|mic_fileid_29_doa111_3spk_2.wav|mic_fileid_29_doa111_3spk_3.wav|mic_fileid_29_doa111_3spk_4.wav,484.0,500.0,16.0,111,text_fileid_29_doa111_spk1.txt,mean_all_channels,MY FATHER WAS AND STILL IS RECEVEUR GENERAL AT C HE HAS A GREAT REPUTATION THERE FOR LOYALTY THANKS TO WHICH HE WAS ABLE TO FIND THE SECURITY WHICH HE NEEDED IN ORDER TO ATTAIN THIS POSITION,My father was and still is receiver general at CE. He has a great reputation for loyalty. Thanks to which we were able to find the security or to take it in order to return to the position.,0.32432432432432434,12,37,My father was and still is receiver general at CE. He has a great reputation for loyalty. Thanks to which we were able to find the security or to take it in order to return to the position.,0.32432432432432434,12,37
30,4,"1,2,3,4",mic_fileid_30_doa12_3spk_1.wav|mic_fileid_30_doa12_3spk_2.wav|mic_fileid_30_doa12_3spk_3.wav|mic_fileid_30_doa12_3spk_4.wav,500.0,516.0,16.0,12,text_fileid_30_doa12_spk1.txt,mean_all_channels,WHICH COVERED THEM DOWN TO THE ANKLES AND WHICH THEY WORE WINTER AND SUMMER WOMEN COMMONLY WORE A LONG LOOSE CLOAK WITH A HOOD A FASHION WHICH IS COMMON AT THE PRESENT DAY THE OVER GARMENTS WERE FASTENED BY BROOCHES PINS BUTTONS,"(indistinct chatter s. When it comes to a more long list of people, there's a hood, a fashion which is common at the present day. The over grabments were fastened by broaches, pins , buttons.",0.5714285714285714,24,42,"(indistinct chatter s. When it comes to a more long list of people, there's a hood, a fashion which is common at the present day. The over grabments were fastened by broaches, pins, buttons.",0.5714285714285714,24,42
