fileid,mic_file,method,audio_stage,speaker_id,duration_sec,gt_doa,selected_wav,selection_strategy,selected_source_index,predicted_doa,doa_error_deg,separated_wav_count,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,pesq_error,reference,hypothesis,whisper_sec,total_sec,whisper_rtf,total_rtf,under_realtime
10,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_10_doa3_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.430875,3,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_10/odas_separated_preddoa001_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,0.788258504623769,2.2117414953762307,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_10_doa3_spk1.txt,0.8,36,45,7.44453005086042,-0.48755509556238774,-7.932085146422808,6.582216348176933,-43.31465748217438,-49.89687383035132,1.1794668436050415,1.0777947902679443,-0.10167205333709717,,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,They called it old Bill's people and wished it anywhere else.,0.1025176779985486,0.1025176779985486,0.006643672377525487,0.006643672377525487,1
11,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_11_doa93_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.721,264,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_11/odas_separated_preddoa254_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,253.5099362376731,10.490063762326912,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_11_doa264_spk1.txt,0.71875,23,32,4.3507104076795775,-0.6177414909376159,-4.968451898617193,2.5172197822659967,-32.55001773537978,-35.06723751764578,1.2188899517059326,1.1741176843643188,-0.04477226734161377,,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Seed's revolution on the road, throwing wades of the soot south of the gas, pure and simple. The Perrysbury guy struck the thing that swammy pipe. 40 miles of stone road, almost to dead levels.",0.33298118300081114,0.33298118300081114,0.02118066172640488,0.02118066172640488,1
12,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_12_doa38_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,17.289,38,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_12/odas_separated_preddoa038_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,37.75005432438193,0.24994567561807912,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_12_doa38_spk1.txt,0.4,16,40,3.0117120171854905,-1.0066554984609952,-4.018367515646486,2.3108811519215955,-19.727261767275934,-22.03814291919753,1.4103443622589111,1.354329228401184,-0.05601513385772705,,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"of any other map which might have been traced upon her house in San Luis. Ms. Madison knew of none of the rest. The coroner intimately dealt her ordeal on what is at an end, and the veiled lady made her way to the door.",0.35313444399980654,0.35313444399980654,0.02042538284457207,0.02042538284457207,1
13,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_13_doa5_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,17.47475,5,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_13/odas_separated_preddoa336_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,335.7624102519256,29.237589748074413,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_13_doa5_spk1.txt,1.0,39,39,4.507896838221571,-0.5945939512348613,-5.102490789456432,3.7215280938560187,-16.908195022010982,-20.629723115867,1.3005075454711914,1.1936180591583252,-0.10688948631286621,,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,AstraZeneca logo,0.3630286139996315,0.3630286139996315,0.02077446681638544,0.02077446681638544,1
14,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_14_doa181_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,17.749,181,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_14/odas_separated_preddoa182_slot1.wav,nearest_predicted_doa_to_spk1_gt_doa,1,182.3969488028219,1.3969488028218962,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_14_doa181_spk1.txt,0.5476190476190477,23,42,5.70254806064969,-0.3097339026453093,-6.012281963294999,5.878008946627913,-22.49968814747085,-28.377697094098764,1.3085827827453613,1.1065285205841064,-0.20205426216125488,,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"Sometimes he's a tiny carlip, stumbling over for little difficulties and now and then wondering if true and pro, conversational, from per se to the octagon stitch and from the octagon stitch to Dennis.",0.29770394199840666,0.29770394199840666,0.01677299802796815,0.01677299802796815,1
15,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_15_doa78_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.6375,266,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_15/odas_separated_preddoa276_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,276.32572510588113,10.325725105881133,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_15_doa266_spk1.txt,0.4722222222222222,17,36,5.416050440078651,-0.8945907934149842,-6.3106412334936355,4.383063203187206,-46.79604290202707,-51.179106105214274,1.276834487915039,1.1608548164367676,-0.11597967147827148,,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"He followed his favorite like his own, but he was never known to lose. Except when speech didn't appear, he was the cornerpollice. Happy, good, and well cared for, possible dog.",0.28217998100080877,0.28217998100080877,0.01804508271787746,0.01804508271787746,1
16,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_16_doa36_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.665875,36,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_16/odas_separated_preddoa032_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,32.37188278570286,3.6281172142971343,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_16_doa36_spk1.txt,0.2,8,40,4.715887579519538,-0.6147328469029298,-5.330620426422468,5.223743296344692,-26.09756379972832,-31.321307096073014,1.2247428894042969,1.1892502307891846,-0.035492658615112305,,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,"Summer day, a few months after the marriage, Julia, returning to the consulate after a man spent a very active exercise on the tennis court, was met on the doorstep by Dora, the youngest of the Torrancey butchers.",0.3209569760001614,0.3209569760001614,0.020487650769597063,0.020487650769597063,1
17,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_17_doa99_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,16.526625,99,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_17/odas_separated_preddoa099_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,99.44469251370852,0.44469251370850316,2,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_17_doa99_spk1.txt,0.0784313725490196,4,51,4.538646043512617,-1.8722099757301367,-6.410856019242753,3.5000313464479675,-23.280305621671523,-26.780336968119492,1.4027400016784668,1.2796512842178345,-0.12308871746063232,,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged to a man who she really loved? Yes, that was it. And during all the time she kept up her old liaison. The author wanted to show that a woman can love and to lay a man only in one. That's true enough, isn't it? Certainly.",0.41079059000003326,0.41079059000003326,0.02485629037991927,0.02485629037991927,1
18,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_18_doa181_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,15.649,181,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_18/odas_separated_preddoa182_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,182.35424068193407,1.3542406819340727,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_18_doa181_spk1.txt,0.6444444444444445,29,45,5.032712299136866,-0.5895491410104358,-5.622261440147302,5.4186325189616,-22.003090313023634,-27.421722831985235,1.3465945720672607,1.1184420585632324,-0.22815251350402832,,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,I started toward the cabin door as though I had just developed his role as a film to discover what success his labor had resulted in.,0.18666698900051415,0.18666698900051415,0.011928365326890802,0.011928365326890802,1
19,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_19_doa121_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,17.152125,340,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_19/odas_separated_preddoa339_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,339.0195532438084,0.9804467561916113,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_19_doa340_spk1.txt,0.11904761904761904,5,42,6.963142319533812,-1.9141806782484874,-8.877322997782299,6.300918608916667,-21.799145411972024,-28.10006402088869,1.340700626373291,1.2889231443405151,-0.05177748203277588,,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"The injuries to DotCova had delayed the march so greatly that it was decided to give up the expedition, which was arrayed upon a small, thart community in retaliation for the destruction of the incubator, until after the great games.",0.3185402510007407,0.3185402510007407,0.018571474438341642,0.018571474438341642,1
20,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_20_doa68_3spk.wav,ODAS-SSL-SST-DGSS-MS,separated,1,16.674375,68,/home/shaozi/ucl/code/audition_pipeline/ablation_study/baseline/ODAS/results/ODAS_n_loc+sep+pf/odas_outputs/fileid_20/odas_separated_preddoa066_slot0.wav,nearest_predicted_doa_to_spk1_gt_doa,0,66.44547932729459,1.5545206727053937,3,/home/shaozi/ucl/code/audition_pipeline/data/dataset_4mic_3spk/Eval/text/text_fileid_20_doa68_spk1.txt,0.029411764705882353,1,34,4.592732917239571,-0.5316953857985811,-5.124428303038153,3.6424887157386006,-28.671441479309504,-32.3139301950481,1.3482533693313599,1.2145493030548096,-0.1337040662765503,,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,was about to approach the dead body and had begun to look at it when the brother looking up at him from under his brows with calm contempt said something sharply and angrily.,0.23541816899887635,0.23541816899887635,0.014118560305791152,0.014118560305791152,1
