fileid,mic_file,predicted_doas,output_dir,output_prefix,command,returncode,elapsed_sec,stdout_log,stderr_log,separated_wav_count
10,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_10_doa3_3spk.wav,"6,117,151",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_10,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_10/hark_raw_fileid_10,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_10/runtime_fileid_10.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_10_doa3_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_10/hark_raw_fileid_10',0,4.078407736999907,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_10.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_10.stderr.log,3
11,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_11_doa93_3spk.wav,"95,203,260",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_11,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_11/hark_raw_fileid_11,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_11/runtime_fileid_11.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_11_doa93_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_11/hark_raw_fileid_11',0,4.1725197719997595,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_11.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_11.stderr.log,3
12,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_12_doa38_3spk.wav,"40,106,225",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_12,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_12/hark_raw_fileid_12,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_12/runtime_fileid_12.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_12_doa38_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_12/hark_raw_fileid_12',0,4.670930917000078,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_12.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_12.stderr.log,3
13,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_13_doa5_3spk.wav,"50,222,344",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_13,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_13/hark_raw_fileid_13,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_13/runtime_fileid_13.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_13_doa5_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_13/hark_raw_fileid_13',0,4.576760527999795,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_13.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_13.stderr.log,3
14,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_14_doa181_3spk.wav,"181,223,338",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_14,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_14/hark_raw_fileid_14,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_14/runtime_fileid_14.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_14_doa181_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_14/hark_raw_fileid_14',0,4.653257269999813,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_14.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_14.stderr.log,3
15,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_15_doa78_3spk.wav,"78,263,299",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_15,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_15/hark_raw_fileid_15,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_15/runtime_fileid_15.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_15_doa78_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_15/hark_raw_fileid_15',0,4.10061871400012,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_15.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_15.stderr.log,3
16,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_16_doa36_3spk.wav,"35,147,316",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_16,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_16/hark_raw_fileid_16,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_16/runtime_fileid_16.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_16_doa36_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_16/hark_raw_fileid_16',0,4.068056639000133,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_16.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_16.stderr.log,3
17,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_17_doa99_3spk.wav,"98,159",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_17,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_17/hark_raw_fileid_17,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_17/runtime_fileid_17.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_17_doa99_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_17/hark_raw_fileid_17',0,3.1738334519995988,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_17.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_17.stderr.log,2
18,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_18_doa181_3spk.wav,"182,228,263",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_18,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_18/hark_raw_fileid_18,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_18/runtime_fileid_18.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_18_doa181_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_18/hark_raw_fileid_18',0,4.2099879659999715,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_18.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_18.stderr.log,3
19,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_19_doa121_3spk.wav,"120,260,337",/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_19,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_19/hark_raw_fileid_19,batchflow '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_19/runtime_fileid_19.n' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/data/dataset_4mic_3spk/Eval/mic/mic_fileid_19_doa121_3spk.wav' '/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_outputs/fileid_19/hark_raw_fileid_19',0,4.487939136000023,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_19.stdout.log,/mnt/d/邵鹏远/UCL/博1/code/audition_pipeline/ablation_study/baseline/results/HARK_n_sep+pf_IPD/official_hark_logs/hark_fileid_19.stderr.log,3
