fileid,mic_file,method,speaker_id,duration_sec,gt_doa,mic_channel,convtasnet_source,separated_source_index,oracle_match_si_sdr,enhanced_file,gt_text_file,wer,edit_distance,ref_words,input_sdr,sdr,sdr_i,input_si_sdr,si_sdr,si_sdr_i,input_wb_pesq,wb_pesq,wb_pesq_i,reference,hypothesis,convtasnet_sec,whisper_sec,metrics_sec,total_sec,convtasnet_rtf,whisper_rtf,metrics_rtf,total_rtf,under_realtime
10,mic_fileid_10_doa3_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.430875,3,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,5.3361742735752316,,text_fileid_10_doa3_spk1.txt,0.4666666666666667,21,45,7.44453005086042,4.8219167853339675,-2.6226132655264527,6.58221634817692,5.3361742735752316,-1.2460420746016885,1.1794668436050415,1.2458293437957764,0.06636250019073486,HERE HE SAW CLIENTS WHEN MISTER CARLYLE WAS OUT OR ENGAGED AND HERE HE ISSUED PRIVATE ORDERS A LITTLE WINDOW NOT LARGER THAN A PANE OF GLASS LOOKED OUT FROM THE CLERK'S OFFICE THEY CALLED IT OLD DILL'S PEEP HOLE AND WISHED IT ANYWHERE ELSE,He would be sought clients when Mr. Cronow was out on D.H. and here he issued private orders. Although we know who's a large humanist man looked out some of the clerk's office. They called it Old Dill's Seaphole and wished it anywhere else.,0.12668197099998224,0.5904505459999996,0.2660818470000095,0.9832143639999913,0.008209642745468565,0.0382642297342179,0.017243471092858276,0.06371734357254474,1
11,mic_fileid_11_doa93_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.721,264,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,2.2468721213597975,,text_fileid_11_doa264_spk1.txt,0.875,28,32,4.3507104076795775,2.2967567573761287,-2.053953650303449,2.517219782265998,2.2469932376611217,-0.2702265446048764,1.2188899517059326,1.2081257104873657,-0.010764241218566895,SEES ME BOWLING ALONG THE ROAD STRAIGHTWAY DELIVERS HIMSELF OF A YELL PURE AND SIMPLE AT PERRYSBURG I STRIKE THE FAMOUS MAUMEE PIKE FORTY MILES OF STONE ROAD ALMOST A DEAD LEVEL,"Seize me all of the lost roads, drink when you deliver to yourself of a gas fuel and dim the light. A very spurred-eye stretch of famous swan-y pipe, 40 miles in a stonely road and almost a dead level.",0.1294248879999884,0.5291625320000151,0.26847315400002003,0.9270605740000235,0.008232611665923822,0.033659597481077226,0.017077358564978058,0.0589695677119791,1
12,mic_fileid_12_doa38_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.289,38,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,1.0052512224178038,,text_fileid_12_doa38_spk1.txt,0.8,32,40,3.0117120171854905,2.581256659499833,-0.43045535768565735,2.310881151921592,1.005252496933019,-1.305628654988573,1.4103443622589111,1.2009296417236328,-0.20941472053527832,OF ANY OTHER MATTER WHICH MIGHT HAVE BEEN PREYING UPON HER HUSBAND'S MIND RECENTLY MISSUS MANDERSON KNEW OF NONE WHATEVER THE CORONER INTIMATED THAT HER ORDEAL WAS AT AN END AND THE VEILED LADY MADE HER WAY TO THE DOOR,"Any number of members which might have been friends, Connor, Miss Stoneman, Ruth, Mrs. Anderson, and none of the others, those who are not in time will ever go dealing with that now and the vanishing later way to the door.",0.14641183099999466,0.6454059010000037,0.37732756299999437,1.1691452949999928,0.008468496211463627,0.037330435594887135,0.021824718780727302,0.06762365058707806,1
13,mic_fileid_13_doa5_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.47475,5,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,3.7229777081184197,,text_fileid_13_doa5_spk1.txt,0.9487179487179487,37,39,4.507896838221571,3.7577336304861215,-0.7501632077354494,3.72152809385599,3.7229928663895766,0.001464772533586789,1.3005075454711914,1.2871114015579224,-0.013396143913269043,NO MATTER HOW DIFFICULT HE MUST SUCCEED IN IT OR DIE THEY DID NOT THINK LONG BUT REPLIED LET HIM BUILD YOUR MAJESTY IN ONE DAY A MORE BEAUTIFUL PALACE THAN THIS AND IF HE FAILS IN THE ATTEMPT,"will never have a physical connection to a different kind of diet. They just need to think long and still reply. Legitability at the end of the day is more useful to have a sense of this. And if you fail, it is a 10-percent.",0.1490133179999873,0.6312669079999864,0.36411593799999764,1.1443961639999713,0.008527350491422612,0.03612451726061811,0.02083668939469793,0.06548855714673865,1
14,mic_fileid_14_doa181_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.749,181,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,3.343698489233123,,text_fileid_14_doa181_spk1.txt,0.5,21,42,5.70254806064969,3.791733861534578,-1.9108141991151117,5.87800894662787,3.3436995190283216,-2.534309427599548,1.3085827827453613,1.3349816799163818,0.026398897171020508,THIS WAS A CURIOUS CONSOLATION THE TWO SPENT HOURS TOGETHER SOMETIMES IN THE TINY PARLOR STUMBLING OVER BERLIN WOOL DIFFICULTIES AND NOW AND THEN WANDERING TO AND FRO CONVERSATIONALLY FROM PRISCILLA TO THE OCTAGON STITCH AND FROM THE OCTAGON STITCH TO DENIS,"This was a curious consolation. The two spent hours together sometimes, with tiny pilot, suddenly motor-relatable duplicates, and then would then go on to and throw, conversationally, from the octagon stitch to the denence.",0.15836412900000596,0.5760702610000124,0.35717507399999704,1.0916094640000154,0.008922425432419064,0.03245649112626133,0.020123673108343967,0.06150258966702436,1
15,mic_fileid_15_doa78_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.6375,266,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,1.4470659516659174,,text_fileid_15_doa266_spk1.txt,0.6666666666666666,24,36,5.416050440078651,2.535099475700369,-2.880950964378282,4.383063203187184,1.4470692522039315,-2.935993950983253,1.276834487915039,1.174117088317871,-0.10271739959716797,WHEN ON SHORE HE FOLLOWED HIS FAVORITES LIKE A DOG AND WAS NEVER KNOWN TO ROOT EXCEPT IN SPEECH AND APPEARANCE HE WAS THE COUNTERPART OF A HAPPY GOOD NATURED AND WELL CARED FOR HOUSEHOLD DOG,"When on shoulders, all of his feet rested at one's own, and was never known to move, except when speech in a pure mouth was the counterpulsing, heavy, good-pasturing, and well-cared-born, possible dog.",0.13789183900001944,0.5803885210000033,0.27372164799999155,0.9920020080000143,0.008818023277379341,0.037115173205435864,0.01750418212629842,0.06343737860911362,1
16,mic_fileid_16_doa36_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.665875,36,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,6.920541435558234,,text_fileid_16_doa36_spk1.txt,0.45,18,40,4.715887579519538,7.70834603997846,2.9924584604589226,5.223743296344563,6.920541458422315,1.6967981620777524,1.2247428894042969,1.3307079076766968,0.1059650182723999,ONE HOT SUMMER DAY A FEW MONTHS AFTER THE MARRIAGE JULIET RETURNING TO THE CONSULATE AFTER A MORNING SPENT IN VERY ACTIVE EXERCISE UPON A TENNIS COURT WAS MET ON THE DOORSTEP BY DORA THE YOUNGEST OF THE CLARENCY BUTCHERS,"One hunt some hunting, a few months after the start, Julia, returning to the council, sector of non-strangling, very active exercise in the house, was met on the doorstep by Doroth, the youngest of the Thorensic archers.",0.13733055199998034,0.6548902179999914,0.2696659589999797,1.0618867289999514,0.008766222888921324,0.041803615693345654,0.01721359062292912,0.0677834292051961,1
17,mic_fileid_17_doa99_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,16.526625,99,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,2.8512863854680566,,text_fileid_17_doa99_spk1.txt,0.27450980392156865,14,51,4.538646043512617,3.809413016774573,-0.7292330267380436,3.500031346448057,2.8512957694274395,-0.6487355770206173,1.4027400016784668,1.4376039505004883,0.034863948822021484,WASN'T SHE LATER ON ENGAGED TO A MAN WHOM SHE REALLY LOVED YES THAT WAS IT AND DURING ALL THE TIME SHE KEPT UP HER OLD LIAISON THE AUTHOR WANTED TO SHOW THAT A WOMAN CAN LOVE IN TWO WAYS A MAN ONLY IN ONE THAT'S TRUE ENOUGH ISN'T IT CERTAINLY,"Wasn't she later on engaged to a man whom she really loved? Yes, that was it. And during all the time, she kept up her old layers on her. Before I wanted to show that a woman can love her two ways. A man only in one. Thanks, you and not this now. Certainly. Thanks, sir.",0.13662657300000092,0.7627983950000043,0.2502942240000152,1.1497191920000205,0.008267058337682431,0.046155727197779606,0.015144908533957491,0.06956769406941953,1
18,mic_fileid_18_doa181_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,15.649,181,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,0,6.345386974460579,,text_fileid_18_doa181_spk1.txt,0.26666666666666666,12,45,5.032712299136866,6.926650495933659,1.8939381967967934,5.418632518961639,6.345387173574768,0.9267546546131289,1.3465945720672607,1.5168514251708984,0.1702568531036377,AND DON'T I HOPE THAT FIRST PICTURE TURNS OUT GOOD IT WAS A REMARKABLE POSE IF ONLY THE FOCUS WAS RIGHT HE STARTED TOWARD THE CABIN DOOR AS THOUGH ANXIOUS TO DEVELOP HIS ROLL OF FILM AND DISCOVER WHAT SUCCESS HIS LABOR HAD RESULTED IN,And didn't I hope that first picture turned out good? It was a remarkable bet I was going to see. Only the focus was right beneath it. He started toward the cabin door as though anxious to develop his role in film and discover what success his labor had resulted in.,0.13532933899998056,0.7854331579999894,0.270917881999992,1.191680378999962,0.008647794683365108,0.05019062930538625,0.01731215298102064,0.076150576969772,1
19,mic_fileid_19_doa121_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.152125,340,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,7.678641738228319,,text_fileid_19_doa340_spk1.txt,0.16666666666666666,7,42,6.963142319533812,7.525505857842909,0.5623635383090964,6.300918608916659,7.678643191649712,1.3777245827330535,1.340700626373291,1.4614078998565674,0.12070727348327637,THE INJURIES TO DAK KOVA HAD DELAYED THE MARCH SO GREATLY THAT IT WAS DECIDED TO GIVE UP THE EXPEDITION WHICH WAS A RAID UPON A SMALL THARK COMMUNITY IN RETALIATION FOR THE DESTRUCTION OF THE INCUBATOR UNTIL AFTER THE GREAT GAMES,"The injuries to Dot Combe had to made the march so greatly that it was decided to give up the expedition, which was arrayed upon a small, farted community in retaliation for the destruction of the incubator until after the Great Games.",0.14772804500000802,0.5004258639999932,0.34037709300000074,0.988531002000002,0.008612812989644607,0.029175735601273498,0.019844601937077808,0.05763315052799591,1
20,mic_fileid_20_doa68_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,16.674375,68,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,3.631705896892789,,text_fileid_20_doa68_spk1.txt,0.20588235294117646,7,34,4.592732917239571,4.500836289168136,-0.09189662807143506,3.6424887157386032,3.6322915021095232,-0.010197213629079993,1.3482533693313599,1.3169291019439697,-0.03132426738739014,OLENIN WAS ABOUT TO APPROACH THE DEAD BODY AND HAD BEGUN TO LOOK AT IT WHEN THE BROTHER LOOKING UP AT HIM FROM UNDER HIS BROWS WITH CALM CONTEMPT SAID SOMETHING SHARPLY AND ANGRILY,"In 11 was about to approach the dead body and had begun to look at it when the brother, looking up at him from under his brow, with calm content, had said something sharply to him.",0.13711366200001862,0.4671133749999967,0.2714654939999832,0.8756925309999986,0.008223016574835255,0.02801384609618032,0.016280399955019793,0.052517262626035364,1
21,mic_fileid_21_doa34_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,17.10975,34,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,1.6119777553503258,,text_fileid_21_doa34_spk1.txt,0.7567567567567568,28,37,6.26855616178417,2.8771876224564297,-3.3913685393277406,5.846675211722754,1.6289475179489907,-4.217727693773764,1.4030921459197998,1.2580268383026123,-0.1450653076171875,WE THEN WENT TO WORK TO MAKE CLOTHES AFTER THE PATTERN OF THE NETCHELLI ESKIMO AND THE SEWING WENT ON EARLY AND LATE THICK ANORAKS AND THIN ONES HEAVY BREECHES AND LIGHT WINTER STOCKINGS AND SUMMER STOCKINGS,"We then went to work and closed the shed to the pattern that the sunshine has to move, and the sun went on early and late to look at thick and erect and thin ones, like heavy breeches and light, with your stockings and sunrushed underneath. That has a small to short pipe.",0.1519669940000199,0.677577092000007,0.27404688999999394,1.1035909760000209,0.008881894475373393,0.03960181136486548,0.01601700141732018,0.06450070725755905,1
22,mic_fileid_22_doa22_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,16.8605,345,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,2.8668918689621576,,text_fileid_22_doa345_spk1.txt,1.0,38,38,3.2703564776677743,4.106120629135011,0.8357641514672371,2.895564225479083,2.882998720406056,-0.012565505073027339,1.1457661390304565,1.1709238290786743,0.025157690048217773,THEY HAVE MERELY GONE TO WORK IN A BUSINESS LIKE MANNER AND USED THEIR WITS AND COMMON SENSE IN EDUCATING THE VOTERS REALLY MY DEARS I'M MORE PROUD OF YOU TODAY THAN I'VE EVER BEEN BEFORE HE CONCLUDED,That's all I wanted.,0.12239898900000412,2.329439810999986,0.2812925719999839,2.733131371999974,0.00725951122445978,0.13815959259808347,0.016683524925119892,0.16210262874766315,1
23,mic_fileid_23_doa6_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,16.07425,212,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,3.697104595777383,,text_fileid_23_doa212_spk1.txt,0.5416666666666666,26,48,5.851375095637323,3.8095635047213676,-2.0418115909159553,4.819576815847149,3.6971264514527147,-1.122450364394434,1.343172311782837,1.330448031425476,-0.01272428035736084,WHEN HIS CRIES WERE HEARD BY A FARMER WHO WAS WALKING HOME FROM TOWN AND HE WAS BROUGHT BACK TO HIS FATHER'S HOUSE HE WAS SO TIRED AND EXCITED THAT HE DID NOT KNOW WHAT WAS HAPPENING TO HIM BY CHANCE DAVID'S FATHER KNEW THAT HE HAD DISAPPEARED,"When his strides occurred on my farm, or he was walking home from town, I was brought back to his father's house. He was so tired and excited, but we did not want to stay. I chanced and it slithered and renewed, and it may disappear.",0.11599290999998857,0.5172087800000043,0.4009999439999774,1.0342016339999702,0.007216069801078655,0.0321762309283484,0.024946728089956138,0.06433902881938319,1
24,mic_fileid_24_doa57_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,16.518375,289,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,2,3.945782791164159,,text_fileid_24_doa289_spk1.txt,0.3170731707317073,13,41,4.580670673283431,5.171684065074039,0.5910133917906082,3.8951552845271706,3.946603296821865,0.05144801229469431,1.2749168872833252,1.3240551948547363,0.04913830757141113,I HAD NOT FORGOTTEN THE LIVID JAGGED FURROWS IN MERCER'S SIDE QUICKLY AS I SHOT TO THE LADDER SHE WAS THERE BEFORE ME A DIM WAVERING WHITE SHAPE WAITING I PAUSED HOLDING TO A RUNG OF THE LADDER WITH ONE HAND,"I had not forgotten the ribboned jagged furrows in my shish-signet. Who bit me as I shot to the ladder she was there before me, a dim, green white shape, waiting. I paused, pulled into a round and the ladder went from hand.",0.12175929099998939,0.5259437210000044,0.28688241999998354,0.9345854319999773,0.00737114219770343,0.031839918938757865,0.017367472284651703,0.056578533421113,1
25,mic_fileid_25_doa112_3spk.wav,ConvTasNet-ConvTasNet_Libri3Mix_sepnoisy_16k,1,14.702125,112,1,JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,1,3.6920784441736036,,text_fileid_25_doa112_spk1.txt,0.5,18,36,3.739846981872834,4.336104955925878,0.5962579740530436,2.849780843994454,3.7340832252250413,0.8843023812305875,1.189566969871521,1.1624062061309814,-0.02716076374053955,THERE WAS THE SWEETNESS OF THE MAYFLOWER AND THE STRENGTH OF THE YOUNG OAK BUT ONE COULD EASILY DIVINE THAT SHE WAS ONE OF THE SOULS BY NATURE PITCHED TOO HIGH BY SUFFERING PLUNGED TOO LOW,"There was this weakness of the main power at the stream of the milk, and the one who could easily define that she was one of those lonesome nature, pays too high by suffering, comes to life.",0.1019289949999802,0.4202097820000006,0.24322266100000434,0.7653614379999851,0.006932943026942038,0.028581567766564397,0.016543367778467693,0.05205787857197412,1
